Title,Director,Cast,Genre,Notes,,
Aasra,"Chimankant Gandhi, Lalit Mehta","Sardar Akhtar, Amar, Husn Banu, Veena, Bhudo Advani, Nisar Ahmad Ansari, Kanhaiyalal",Social,"Music: Anil Biswas
Lyrics: Safdar Aah",,
Abla,R.N. Vaidya,"Chandrika, Sheila Haldar, Ghulam Mohammed, Surya Kumari, Sunder, Shyam Narayan, Hiralal, Chandrika",Social,"Music: Khurshid Khan
Lyrics: Pandit Gyan Chandra",,
Abla Ki Shakti,Munshi Dil,"Khalil, Jehanara Kajjan, Premlata, Pearl, Phool Kumari",Social,"Music: Chaila Lal, Ustad Hussain Jaan
lyrics: Pandit Bhushan",,
Akela,Pesi Karani,"Bibbo, Mazhar Khan, E. Billimoria, Protima Devi, Miss Moti, Mohammed Hadi",Social,Music: Khan Mastana Lyrics: Pyare Lal Santoshi,,
Allaudin Laila,A. M. Khan,"Jayant, Ameena, Zahur, Ghulam Mohammed, Indu Rani, Violet Cooper, N. A. Ansari, Nawab, Gulab","Costume, Fantasy","Music: Master Basheer
Lyrics: Munshi Nayab",,
Amrit,Master Vinayak,"Master Vithal, Meenakshi, Damuanna Malvankar, Dada Salvi, Baburao Pendharkar, Lalita Pawar",Social,"Music: Dada Chandekar
Lyrics: Pandit Indra",,
Anjaan,Amiya Chakravarty,"Devika Rani, Ashok Kumar, V. H. Desai, David, Om Prakash, Girish, Suresh, Fenty Prasad, Rajkumari, Gulab, P Pithavala",Social,"Music: Panna Lal Ghosh
Lyrics: Pyare Lal Santoshi, Kavi Pradeep",,
Bahen,Mehboob Khan,"Sheikh Mukhtar, Nalini Jaywant, Harish, Meena Kumari, Husn Banu, Swaroop Rani, Kanhaiyalal, Shahzadi, Bhudo Advani, Agashe","Family, Drama","Music: Anil Biswas
Lyrics: Safdar Aah",,
Bambai Ki Sair a.k.a. Holiday in Bombay,Sarvottam Badami,"Shobhana Samarth, Sabita Devi, E. Bilimoria, Vatsala Kumtekar, Jal Merchant, Ghory",Comedy,"Music: Khemchand Prakash
Lyrics: D. N. Madhok, Munshi Dil, B. R. Sharma, Pandit Indra",,
Beti,Jayant Desai,"Khursheed, Arun Kumar, Vasanti, E. Billimoria, Ghory, Bhagwandas, Ghorpure, Nagendra, Kesarbai, Khatoon","Family, Social","Music: Gyan Dutt
Lyrics: B R Sharma, D. N. Madhok",,
Bombaiwali (Bambaiwali),Homi Wadia,"Fearless Nadia, John Cawas, Sardar Mansoor, Radharani, Dalpat, Mithu Miya, Boman Shroff, Bibijan, Master Chhotu, Azim",Action,"Music: Madhavlal Damodar Master
Lyrics: Waheed Qureshi",,
Bulbule Baghdad,K. Amarnath,"Yakub, Jayant, Indurani, Sadiq, W. M. Khan, Anant Marathe, Ghulam Rasool",,"Music: Ram Gopal Pandey
Lyrics: Ehsan Rizvi",,
