Title,Director,Cast,Genre,Notes
Aankh Michouli,R.S. Choudhury,"Nalini Jaywant, Satish, Anand Prasad Kapoor, Sulochana, Jilloobai, Pratima Devi, Hadi",Social,"Music: Gyan Dutt
Lyrics: Pandit Indra, Satyakam Sharma, Shatir Ghaznavi"
Amar Asha,Shailen Ghosh,"Navin Yagnik, Kamla Varerkar, Devaskar, Bhim",Social,"Music: Rattan Lal
Lyrics:"
Apna Ghar,Debaki Bose,"Shanta Apte, Mahesh Kaul, Chandra Mohan, Vimla Vashishta, Maruti, Maya Bannerji, Jeevan, David, Gope, Jagdish Sethi, Nimbalkar, Mishra","Social, Family, Drama","Music: Harishchandra Bali
Lyrics: Narottam Vyas"
Apna Paraya,Ramchandra Thakur,"Shahu Modak, Hansa Wadkar, Dulari, Kayam Ali, Sankatha Prasad, Shakuntala, Pesi Patel, Agha, Rajrani",Social,"Music: Anil Biswas
Lyrics:"
Armaan,Kidar Nath Sharma,"Motilal, Meera, A. Shah, Shamim, Nagendra, Bhagwandas, Nazir Bedi, Rajinder Singh, Rajkumari A. Shah",Social,"Music: Gyan Dutt
Lyrics: Kidar Sharma"
Arzoo,"M. Issa, R.M. Vaidya","Dhiraj Bhattacharya, Purnima, Panna",Social,"Music:
Lyrics:"
Awaaz,Rafiq Rizvi,"Maya Banerjee, Swarnalata, Wasti, Danve, Kailash, Anwaribai",Social,"Music: K C Verma, S Navrekar
Lyrics: Ramesh Gupta, Kabil Amritsari"
Bahana,A.M. Khan,"Alaknanda, Yusuf Effendi, Benjamin, Ameena, Ansari, Rafiq, Nawaz, Shahzadi, Anwaribai, Haroon",Social,"Music: M Sagir Asif
Lyrics: A.M. Khan"
Barat,Gunjal,"Shobhana Samarth, Harish, Prakash, Kaushalya, Manmohan, Rampyari, Sankatha Prasad, Nayampalli, Mirza Musharraf, Vatsala Kumtekar",Social,"Music: Master Ratanlal, Khemraj
Lyrics: Raghunath Brahmbhatt"
Basant,Amiya Chakravarty,"Ulhas, Mumtaz Shanti, Suresh, Kanu Roy, Pithawala, Baby Madhubala, Pramila",Social,"Music: Pannalal Ghosh
Lyrics: Pyare Lal Santoshi"
Bhakta Kabir,Rameshwar Sharma,"Bharat Bhushan, Mehtab, Mazhar Khan, Ramesh Sinha, Padma Devi, Vanmali Das, Gyani, Rai Mohan","Biopic, Devotional","Music: Himanshu Dutta
Lyrics: Kabir, Pandit Shivkumar"
Bharat Milap,Vijay Bhatt,"Prem Adib, Shahu Modak, Shobhana Samarth, Durga Khote, Umakant, Vimala Vashishta, Shanta Kumari, Amirbai Karnataki, Ratanmala","Epic, Religious, Drama","Music: Shankar Rao Vyas
Lyrics: Tulsidas, Pandit Indra, Pandit Anuj, Baalam Pardesi"
Bhakta Surdas,Chaturbhuj Doshi,"K. L. Saigal, Khursheed, Monica Desai, Nagendra, Gharpure, Kesarbai, B, Sharma, Bashir, M. Saigal","Biopic, Drama","Music: Gyan Dutt
Lyrics: D. N. Madhok"
Black Out,Nari Ghadiali,"Sadiq Ali, Benjamin, Sardar Mansur, Shobha, Bibìjan, Mukhtar, Mehdi Raza, Nazira, Habib",Action,"Music: Ninu Majumdar
Lyrics: Waheed Qureshi"
Bolti Bulbul,Dhirubhai Desai,"Anil Kumar, Zebunissa, Mumtaz Begum, Sardar Mansur, Alaknanda, Mehr Sultana, Shahzadi, Mirajkar, S, Nazir, Samson",Action,"Music: K. C. Verma
Lyrics: Safdar Aah, Kabil Amritsari, Shams Lakhnavi"
Bombay Calling,Raja Yagnik,"Navin Yagnik, Shirin, Agha, Bhim, Vatsala Kumtekar, Janardhan, Anant, Ghulam Rasool",Action,"Music: Pratap Mukherjee
Lyrics: A Karim"
Chandni,Jayant Desai,"Khursheed, Ishwarlal, Kesari, Dixit, Noorjahan, Rajkumari Shukla, Baby Kamla",Social,"Music: Khemchand Prakash
Lyrics: D. N. Madhok"
Chauranghee,"Sibtain Fazli, Nabendusundar","Mehtab, Sajjan, Nazir Kashmiri, Anees Khatoon, Amjad,",,"Music: Hanuman Prasad Sharma, Kazi Nazrul Islam
Lyrics: Mirza Ghalib, Jigar Moradabadi, Kazi Nazrul Islam, Arzu Lakhnavi"
Chudiyan,"L.J. Bhatt, K.J. Parmar","Prem Adib, Maya Bannerji, Jeevan, Mehr Sultana, Gulab",,"Music: S N Tripathi
Lyrics: Neelkanth Tiwari, Pandit Indra, Ramesh Gupta, Sharma"
