Title,Director,Cast,Genre,Notes/Music
Aadhi Raat,S.K. Ojha,"Ashok Kumar, Nargis, Kuldip Kaur, Cukoo, Jeevan, Neelam, Tiwari","Social, Drama","Singers: Geeta Dutt, Meena Kapoor, Lata Mangeshkar, Mohammed Rafi. Music: Husnlal Bhagatram, Hansraj Behl Lyrics: Sarshar Sailani, Rajendra Krishan, Asad Bhopali"
Aahuti,Kulbhushan,"Mumtaz Shanti, Shyama, Sapru, Ranjit, Kumari, Kesari, Cuckoo",Social,"Music: D. C. Dutta Lyrics: Indeevar, Tandon"
Aankhen,Devendra Goel,"Bharat Bhushan, Nalini Jaywant, Yakub, Shekhar, Jeevan, Yashodhara Katju","Family, Drama","Music: Madan Mohan Lyrics: Raja Mehdi Ali Khan, Bharat Vyas, Saraswati Kumar Deepak"
Achchaji,S. H. Tharani,"Bhagwan, Leela Gupte, Cuckoo, Baburao, Naaz, Usha Shukla, Habib","Action, Comedy",Music: S. B. Pathak Lyrics:
Aflatoon,Jaswant Jhaveri,"Bhagwan, Usha, Lila Gupta, Baburao Pendharkar, Vasantrao Pehalwan",Action,"Music: Ninu Mujumdar Lyrics: Indeevar, Buniyaad"
Afsar,Chetan Anand,"Dev Anand, Suraiya, Rashid Khan, Zohra Sehgal, Manmohan Krishan, Kanhaiya Lal, Ruma Devi","Romance, Comedy","Music: S. D. Burman Lyrics: Narendra Sharma, Vishwamitra Adil Playback: Suraiya"
Alakh Niranjan,Gunjal,"Nirupa Roy, Trilok Kapoor, Durga Khote, Sapru, Aroon, Ulhas",Devotional,Music: Premnath Lyrics: Manohar Khanna
Anmol Ratan,M. Sadiq,"Meena Kumari, Karan Dewan, Madan Puri, Gope, Nirmala","Romance, Drama",Music: Vinod Lyrics: D. N. Madhok
Arzoo,Shaheed Latif,"Dilip Kumar, Kamini Kaushal and Shashikala, Gope, Cuckoo, Sita Bose","Romance, Drama",Music: Anil Biswas Lyrics: Majrooh Sultanpuri
Babooji,Bhagwan,"Bhagwan, Munawwar Sultana, Leela Gupte, Amar, A. Shah, Jankidas",Action,Music: P. Ramakant Lyrics: Ehsan Rizvi
Babul,S. U. Sunny,"Dilip Kumar, Nargis, Munawwar Sultana, Tun Tun, Amar, A. Shah, Jankidas",Drama,Music: Naushad Lyrics: Shakeel Badayuni
Bahurani,S. M. Yusuf,"Shekhar, Sulochana Chatteree, Kaushalya, Amar, Gope, Lalita Pawar, David, Yashodhara Katju, N. A. Ansari","Family, Drama","Music: Hansraj Behl Lyrics: Bharat Vyas, Shewan Rizvi"
Bakhshish,"Brij Mohan, A. Jadhav","Bhagwan, Leela Gupte, Usha Shukla, Baburao, Inamdar",Action,Music: P. Ramakant Lyrics: Ehsan Rizvi
Banwra,G. Rakesh,"Raj Kapoor, Nimmi, Lalita Pawar, Hiralal, Lalita Pawar, K. N. Singh, Rattan Kumar, Sunder",Social,"Music: Krishna Dayal Lyrics: Gafil Harnalvi, Amar N. Khanna"
Basera,Inayat,"Ramola, Hiralal, Veena Kumari, Roop Mala, Chanda, Bhudo Advani",Social,Music: M. A. Rauf Lyrics: Sardar Ilham
Bawre Nain,Kidar Sharma,"Raj Kapoor, Geeta Bali, Cuckoo, Vijayalaxmi, Jaswant, Pesi Patel, Majnu, Nazira",Romance,Music: Roshan Lyrics: Kidar Sharma
Bebus,,"Bharat Bhushan, Purnima, Chandrashekhar, Cuckoo, W. M. Khan",Social,"Music: Ganpat Rai Lyrics: Jalal Malihabadi, Salik Lakhnavi"
Beqasoor,K. Amarnath,"Madhubala, Ajit, Yakub, Pramila, Geeta Nizami, Durga Khote, Gope","Family, Drama","Music: Anil Biswas Music: Ehsan Rizvi, Arzoo Lakhnavi"
Bhagwan Shri Krishna,Raja Yagnik,"Shahu Modak, Usha Kiran, Sulochana Chatterjiee, David, Ishwarlal, Niranjan Sharma",Religious,Music: Shankar Rao Vyas Lyrics: Pandit Phani
Bhai Bahen,Ram Darayani,"Geeta Bali, Bharat Bhushan, Nirupa Roy, Prem Abid, Gope, Jeevan, Gulab, Cuckoo","Family, Drama","Music: Shyam Sundar Lyrics: Raja Mehdi Ali Khan, I. C. Kapoor"
Bhimsen,Jayant Desai,"Trilok Kapoor, Nirupa Roy, B. M. Vyas, Murad, Durga Khote, Ramsingh, Narbada Shanker",Mythology,"Music: Avinash Vyas Lyrics: Saraswati Kumar Deepak, B. P. Bhargav"
