Title,Director,Cast,Genre,Notes/Music
25th July,Chitra Mitra,"Chandravati, Pahadi Sanyal, Raj Kumar",Social,Music: Nichiketa Ghosh Lyrics: B. M. Sharma
Aaram,D.D. Kashyap,"Madhubala, Dev Anand, Prem Nath, Talat Mehmood, Durga Khote, Hiralal, Manmohan Krishna, Tabassum, Leela Mishra",Romance,"Music: Anil Biswas Lyrics: Rajendra Krishan, Prem Dhawan"
Actor,Ramji Arya,"Ramola, Geeta Nazami, Bhagwan, Sunder, Sulochana, Gulzar, Murad","Action, Drama",Music: Aziz Hindi-Ibrahim Lyrics: Shewan Rizvi-Nazim Panipati
Ada,D. C. Goel,"Rehana, Shekhar, Gope, Madan Puri, Mohana, Shanta Kanwar","Action, Romance","Music: Madan Mohan Kohli Lyrics: Behzad Lakhnavi, Raja Mehdi Ali Khan, Saraswati Kumar Deepak, Prem Dhawan"
Afsana,B. R. Chopra,"Ashok Kumar, Veena, Pran, Jeevan","Crime Thriller, Romance","Music: Husnlal Bhagatram Lyrics: Gafil Harnalvi, Asad Bhopali, Chander Oberoi, Saraswati Kumar Deepak"
Albela,Bhagwan,"Geeta Bali, Bhagwan, Sunder, Pratima Devi, Nihal, Maruti, Dulari, Badri Prasad","Drama, Romance",Music: C. Ramchandra Lyrics: Rajendra Krishan
Amanat,Aravind Sen,"Bharat Bhushan, Nazir Hussain, Asha Mathur, Pran, Chand Usmani","Drama, Social",Music: Salil Choudhary Lyrics: Shailendra
Andolan,Phani Mujumdar,"Kishore Kumar, Sushma, Pushpa, Manju, Krishnakant, Shivraj, Parshuram","National, Social, Drama","Freedom Fight including Gandhi & Patel Satygraha, Simon Commission and 1942 Quit India Agitation. Music: Pannalal Ghosh Lyrics: Indeevar, Niaz Haider, Bankim Chandra Chatterjee"
Awaara,Raj Kapoor,"Raj Kapoor, Nargis, Prithviraj Kapoor, Leela Chitnis, K.N.Singh, Shashi Kapoor","Crime Thriller, Romance","Music: Shankar-Jaikishan Lyrics: Hasrat Jaipuri, Shailendra"
Azaadi Ke Baad,D. K. Chatterji,"Meera Mishra, Asit Baran, Pannalal Ghosh, Tandon","Social, Drama",Music: K. P. Sen Lyrics: M. Razi Banarsi
Baazi,Guru Dutt,"Dev Anand, Geeta Bali, Kalpana Kartik, Johnny Walker, K. N. Singh, Rashid Khan, Krishan Dhawan","Crime, Thriller",Music: Sachin Dev Burman Lyrics: Sahir Ludhianvi
Baadal,Amiya Chakravarty,"Madhubala, Premnath, Purnima, Hiralal, Randhir, S. Nazir, Agha","Action, Costume, Romance","Based on Sherwood Forest Legend. Music: Shankar-Jaikishan Lyrics: Hasrat Jaipuri, Shailendra"
Babla,Agradoot,"Paresh Banerjee, Naren Bhattacharya, Nibhanani Devi, Jahar Ganguli, Prabhadevi, Pahadi Sanyal, Sova Sen",Social,Robin Chatterjee
Bade Bhaiyya,Aspi Irani,"Nirupa Roy, Suresh, Agha, Yakub, Husn Banu, Naaz, Habib","Family, Drama",Music: Prem Nath Lyrics: Manohar Khanna
