Title,Director,Cast,Genre,Notes,,,,
Aangan,O. P. Dutta,"Rehman, Ameeta, Chand Usmani, Leela Mishra, Badri Prasad","Family, Drama","Music: Roshan Lyrics: Rajendra Krishan, Pandit Indra, Avinash",,,,
Amar Shaheed,B. Ramakrishnaiah Panthulu,"Shivaji Ganeshan, Padmini, Gemini Ganeshan, Ragini","Biopic, Patriotic, Drama",Music: Vinod Lyrics: Aziz Kashmiri,,,,
Anari,Hrishikesh Mukherjee,"Raj Kapoor, Nutan, Lalita Pawar, Motilal, Shubha Khote","Social, Romance","Music: Shankar Jaikishan Lyrics: Hasrat Jaipuri, Shailendra",,,,
Ardhangini,Ajit Chakrabarty,"Raaj Kumar, Meena Kumari, Agha, Durga Khote","Family, Drama",Music: Vasant Desai Lyrics: Majrooh Sultanpuri,,,,
Baap Bete,Raja Paranjpe,"Ashok Kumar, Shyama, Chitra, Ramesh Deo, Jagdeep","Family, Drama",Music: Madan Mohan Lyrics: Rajendra Krishan,,,,
Baazigar,Nanabhai Bhatt,"Jairaj, Nirupa Roy, Sunder, Helen, Naaz, Tiwari","Action, Costume, Drama",Music: Chitragupta Lyrics: Prem Dhawan,,,,
Bank Manager,Rakhan,"Kamini Kaushal, Shekhar, K. N. Singh, Radhakishan, Tun Tun","Social, Family","Music: Madan Mohan Lyrics: Jalal Malihabadi, Anwar Farrukhabadi, Indeevar",,,,
Barkha,"R. Krishnan, Panju","Nanda, Jagdeep, Shubha Khote, Anant Kumar, David, Ulhas","Social, Family",Music: Chitragupta Lyrics: Rajendra Krishan,,,,
Bedard Zamana Kya Jaane,Babubhai Mistri,"Ashok Kumar, Nirupa Roy, Jabeen, Soodesh Kumar, Pran","Family, Social",Music: Kalyanji Virji Shah Lyrics: Bharat Vyas,,,,
Bhagwan Aur Shaitaan,Manmohan Sabir,"Sheila Ramani, Jairaj, Sunder, Achala Sachdev, Nazir Kashmiri",,Music: S. Mohinder Lyrics: Manmohan Sabir,,,,
Bhai Bahen,G. P. Sippy,"Naaz, Rehman, Daisy Irani, Kamaljeet, Nishi, Johnny Walker, Shammi","Family, Drama","Music: N. Dutta Lyrics: Sahir Ludhianvi, Raja Mehdi Ali Khan for ""Saare Jahan Se Achha Hindustan Hamara"",
""Black Cat",N. A. Ansari,"Balraj Sahni, Minu Mumtaz, Johnny Walker, N. A. Ansari, Shammi, Tuntun",Thriller Drama,Music: N. Dutta Lyrics: Jan Nisar Akhtar
Blackmailer,Sultan,"Amarnath, Shanta Kumari, Kanchanmala, Johnny Whisky","Suspense, Thriller",Music: Iqbal Lyrics: Bahaar Ajmeri,,,,
Bus Conductor,Dwarka Khosla,"Premnath, Shyama, Amarnath, Surya Kumar, Sheela Vaz, Kanchanmala, Cuckoo","Social, Action",Music: Bipin Babul Lyrics: Noor Devasi,,,,
C.I.D. Girl,Ravindra Dave,"Geeta Bali, Balraj Sahni, Subiraj, Mohan Choti, Helen, Kanhaiyalal","Social, Action, Drama","Music: Roshan Lyrics: Anand Bakshi, Hasrat Jaipuri",,,,
Chacha Zindabad,Om Prakash,"Kishore Kumar, Anita Guha, Om Prakash, Anoop Kumar, Manorama, Bhagwan, Tun Tun, Sunder","Family, Comedy",Music: Madan Mohan Lyrics: Rajendra Krishan,,,,
Chand,Lekhraj Bhakri,"Meena Kumari, Balraj Sahni, Manoj Kumar, Kuldip Kaur, Vijaya Choudhary, Helen, Sunder","Family, Drama","Music: Hemant Kumar Lyrics: Shailendra, Bharat Vyas, Akhtar Lakhnavi",,,,
Chandrasena,Babubhai Mistri,"Mahipal, Krishna Kumari, B. M. Vyas, Kanchanmala, Sunder","Costume, Devotional",Music: Kalyanji Anandji Lyrics: Indeevar,,,,
Char Dil Char Rahen,Khwaja Ahmad Abbas,"Raj Kapoor, Meena Kumari, Shammi Kapoor, Ajit, Nimmi, KumKum, David, Achala Sachdev, Jairaj","Social, Drama, Romance","Music: Anil Biswas, Lyrics: Sahir Ludhianvi",,,,
Charnon Ki Dasi,Ramesh Vyas,"Manhar Desai, Nirupa Roy, Jayshree Gadkar, Madan Puri, Amirbai Karnatki, Leela Mishra","Family, Drama",Music: Avinash Vyas Lyrics: Bharat Vyas,,,,
Chhoti Bahen,L. V. Prasad,"Nanda, Balraj Sahni, Rehman, Shyama","Family, Drama","Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri",,,,
Chini Jadugar,Noshir Engineer,"Ajit, Krishna Kumari, Kamran, Sulochana, Nazir Kashmiri",Action,Music: Shafi M Nagri Lyrics: Akhtar Romani,,,,
Chirag Kahan Roshni Kahan,Devendra Goel,"Rajendra Kumar, Meena Kumari, Honey Irani, Minu Mumtaz, Madan Puri","Family, Drama","Music: Ravi Lyrics: Prem Dhawan, Ravi for ""Tim Tim Karte Taare"",
""Circus Queen",Noshir Engineer,"Nadia, John Cawas, Nilofar, Samar Roy",Action Thriller,Music: Shafi M Nagri Lyrics: Naqsh Lyallpuri
Commander,Kedar Kapoor,"Ranjan, Kumkum, Nigar Sultana, Kamal Kapoor, Helen, Tiwari",Action,Music: Chitragupta Lyrics: Sarshar Sailani,,,,
Daaka,Nanabhai Bhatt,"Ashok Kumar, Nirupa Roy, Smriti Biswas, Pran","Crime, Drama","Music: Chitragupta Lyrics: Prem Dhawan, Majrooh Sultanpuri",,,,
Deep Jalta Rahe,Datta Dharmadhikari,"Abhi Bhattacharya, Sabita Chatterjee, Badri Prasad, Randhir",Drama,Music: Roshan Lyrics: Shailendra,,,,
Dhool Ka Phool,Yash Chopra,"Rajendra Kumar, Mala Sinha, Nanda, Manmohan Krishna, Jagdish Raj, Leela Chitnis","Social, Family, Drama",Music: N. Dutta Lyrics: Sahir Ludhianvi,,,,
Didi,N. Narayan Kale,"Sunil Dutt, Shubha Khote, Jayshree, Feroze Khan, Om Prakash, Daisy Irani","Family, Drama",Music: N. Dutta and Sudha Malhotra forTum Mujhe Bhool Bhi Jao Lyrics: Sahir Ludhianvi,,,,
Dil Deke Dekho,Nasir Hussain,"Shammi Kapoor, Asha Parekh, Rajendra Nath, Sulochana, Raj Mehra","Romance, Musical",Music: Usha Khanna Lyrics: Majrooh Sultanpuri,,,,
