Title,Director,Cast,Genre,Notes,,,,
36 Chaugali Lane,,,,,,,,
Aai Phirse Bahar,A. Bhimsingh,"Sivaji Ganesan, Padmini, Ragini, Raja Sulochana","Family, Drama",Music by Vedpal Sharma. Dubbed in Hindi from Tamil,,,,
Aanchal,Vasant Joglekar,"Ashok Kumar, Nanda, Lalita Pawar, Nirupa Roy","Family, Drama",Nanda won the Filmfare Best Supporting Actress Award. Music: C. Ramchandra Lyrics: Vasant Joglekar.,,,,
Abdulla,Aakkoo,"Shakila, Mahipal, Hiralal, Ajit, Helen","Fantasy, Adventure",Music: Bulo C. Rani Lyrics: Shewan Rizvi,,,,
Alam Ara Ki Beti,Nanubhai Vakil,"Daljeet, Naina, Shashikala, Tun Tun",Fantasy,"Music by Vipin Datta, lyrics by Noor Devasi, Anwar Farukhabadi",,,,
Airmail,B. J. Patel,"Ranjan, Malini, Mirajkar",Action,Music: S. Kwatra Lyrics: Anand Bakshi,,,,
Amar Prem,Ramanna,"Shivaji Ganesan, Savitri, B.M. Vyas",Drama,"Music: Sanmukh Babu. Lyrics: Vinod Sharma, Kavi Pradeep. Dubbed in Hindi from Tamil",,,,
Angulimal,Vijay Bhatt,"Nimmi, Bharat Bhushan, Anita Guha, Prem Adib, Ulhas, Achala Sachdev, Manmohan Krishna, Helen","Adventure, Drama","Music: Anil Biswas, Lyrics: Bharat Vyas",,,,
Anuradha,Hrishikesh Mukherjee,"Balraj Sahni, Leela Naidu, Abhi Bhattacharya, Ranu, Nazir Hussain, Mukri, Asit Sen, Bhudo Advani, Rashid Khan","Family, Social","Entered in the 11th Berlin International Film Festival, Music: Ravi Shankar Lyrics:Shailendra",,,,
Apna Ghar,Ram Pahwa,"Premnath, Shyama, Nanda, Moti Sagar, Leela Mishra, Kammo, Krishan Dhawan","Family, Social","Music: Ravi, lyrics: Prem Dhawan",,,,
Apna Haath Jagannath,Mohan Sehgal,"Kishore Kumar, Sayeeda, Nazir Hussain, Sabita Chatterjee, Leela Chitnis","Comedy, Romance","Music: S. D. Burman Lyrics: Kaifi Azmi, story-Rajinder Singh Bedi",,,,
Babar,Hemen Gupta,"Shubha Khote, Sulochana Choudhury, Gajanan Jagirdar, Azra",Historical,Music by Roshan. Lyrics by Sahir Ludhianvi,,,,
Bade Ghar Ki Bahu,Kundan Kumar,"Abhi Bhattacharya, Geeta Bali, Kuldeep Kaur, Sunder","Family, Drama",Music: Chitragupta. Lyrics: Tanvir Naqvi,,,,
Bahaana,Kumar,"Meena Kumari, Sajjan, Anwar Hussain, Krishna Kumari, Kumar, Pramila, Azurie, Sheela Vaz",Social,Music: Madan Mohan Lyrics: Rajendra Krishan,,,,
Bahadur Lutera,Kay Cee Kay,"Ram Mohan, Manju, Kamal Mehra, Radhika","Action, Adventure",Music: B. N. Bali,,,,
Banjarin,Jaswant Zaveri,"Kanchan Kamini, Manhar Desai, Lalita Kumari","Drama, Action",Music: Pardeshi Lyrics: Pt. Madhur,,,,
Baraat,K. Amarnath,"Ajit, Shakila, Salim Khan, Mukri","Romance, Drama",Music: Chitragupta. Lyrics: Majrooh Sultanpuri,,,,
Barood,Aspi Irani,"Sheikh Mukhtar, Kumkum, Sudhir, Honey Irani, Mukri, Veena, Tun Tun.","Social, Drama",Music by Khayyam. Lyrics by Hasrat Jaipuri,,,,
Barsaat Ki Raat,P. L. Santoshi,"Bharat Bhushan, Madhubala, Shyama, Chandrashekhar, K.N. Singh","Musical, Romance",Music by Roshan. Lyrics by Sahir Ludhianvi,,,,
Basant (1960 film),Bibhuti Mitra,"Pran, Nutan, Shammi Kapoor, Minoo Mumtaz, Kammo, Murad, Johnny Walker, Cuckoo","Romance, Drama",Music by O. P. Nayyar. Lyrics by Qamar Jalalabadi,,,,
Bewaqoof,I. S. Johar,"Pran, I. S. Johar, Mala Sinha, Kishore Kumar, Helen","Comedy, Romance",Music by S. D. Burman. Lyrics by Majrooh Sultanpuri,,,,
Bhakta Raj,V. M. Vyas,"Sulochana, Shahu Modak, Trilok Kapoor, Lalita Pawar, Dara Singh",Devotional,Music by Avinash Vyas. Lyrics by Bharat Vyas,,,,
Bhakti Mahima,K. Shankar,"A. Nageswara Rao, B. Saroja Devi, Jamuna, Gopi Krishna",Devotional,Dubbed in Hindi. Music by Dilip Roy. Lyrics By Saraswati Kumar Deepak,,,,
Bindya,Krishnan-Panju,"Padmini, Balraj Sahni, Vijaya Choudhary, Minu Mumtaz, Lalita Pawar, Rajendra Nath, Om Prakash,","Family, Drama","Music by Iqbal Qureshi, Lyrics by Rajendra Krishan",,,,
Black Rider,Mehmood,"Kamran, Krishna Kumari, Nazma, Habib",Action,Music by Harbans Lal. Lyrics by Naqsh Lyallpuri,,,,
