Title,Director,Cast,Genre,Music
Aabroo,C L Rawal,"Deepak Kumar, Ashok Kumar, Vimi Tun Tun, Rehman, Jeevan, Mukri, Lalita Pawar, Nirupa Roy, Sunder","Romance, Melodrama","Music: Sonik Omi
Lyrics: G. L. Rawal"
Aadmi,A. Bhim Singh,"Dilip Kumar, Manoj Kumar, Waheeda Rehman, Pran, Simi Garewal, Agha, Ulhas, Mohan Choti, Sulochana",Drama,"Music: Naushad
Lyrics: Shakeel Badayuni"
Aanchal Ke Phool,Karunesh Thakur,"Kamini Kaushal, Jayant, Chand Usmani, Madan Puri, Jeevan, Sunder, Ulhas","Social, Family, Drama","Music: Ved Sethi
Lyrics: Naqsh Lyallpuri"
Aashirwad,Hrishikesh Mukherjee,"Ashok Kumar, Sanjeev Kumar, Sumita Sanyal, Sajjan, Veena, Harindranath Chattopadhyay, Sarika, Bipin Gupta, Ashim Kumar, Samar Roy, Abhi Bhattacharya","Family, Melodrama","music: Vasant Desai
Lyrics: Harindranath Chattopadhyay, Gulzar"
Aankhen,Ramanand Sagar,"Dharmendra, Mala Sinha, Mehmood, Kumkum, Nazir Hussain, Sujit Kumar, Lalita Pawar, Daisy Irani",Thriller,"Music: Ravi
Lyrics: Sahir Ludhianvi"
Abhilasha,Amit Bose,"Meena Kumari, Sanjay Khan, Nanda, Rehman, Murad, Agha, Mohan Choti, Sulochana","Family, Drama","Music: R D Burman
Lyrics: Majrooh Sultanpuri"
Anjam,Shiv Kumar,"Feroz Khan, Shahida, Helen, N. A. Ansari, Sunder, Azad, Johnny Whisky, Jeevankala","Action, Thriller","Music: Ganesh
Lyrics: Qamar Jalalabadi, Zafar Rahi, Akhtar Romani"
Anokhi Raat,Asit Sen,"Sanjeev Kumar, Zaheeda, Ajay (Parikshit Sahni), Aruna Irani, Tarun Bose, Keshto Mukherjee, Mukri, Badri Prasad, Anwar",Drama,"Music: Roshan
Lyrics: Indeevar"
Apna Ghar Apni Kahani,Phani Majumdar,"Shekhar, Bina Rai, Mumtaz, David, Sudhir, Bela Bose, Keshto Mukherjee, Madhumati","Social, Family, Drama","Music: N. Dutta
Lyrics: Qamar Jalalabadi"
Aulad,Kundan Kumar,"Jeetendra, Babita, Mehmood, Achala Sachdev, Aruna Irani, Helen, Jeevan, Nazir Hussain, Sujit Kumar, Manmohan, Sulochana Chatterjee","Family, Drama","Music: Chitragupta
Lyrics: Majrooh Sultanpuri"
Baazi,Moni Bhattacharya,"Dharmendra, Waheeda Rehman, Mehmood, Nazir Hussain, Helen, Johnny Walker, Ulhas, N. a. Ansari, Manmohan, Amar","Suspense, Thriller, Romance","Music: Kalyanji Anandji
Lyrics: Shakeel Badayuni"
Baharon Ki Manzil,Y. H. Rizvi,"Dharmendra, Meena Kumari, Rehman, Farida Jalal, Tun Tun, Hashmi, Anwar Hussain, Wasti","Family, Drama","Music: Laxmikant-Pyarelal
Lyrics: Majrooh Sultanpuri"
Balram Shri Krishna,Chandrakant,"Dara Singh, Savitri, Shahu Modak, Premnath, Jayshree Gadkar, Gitanjali, Aruna Irani, Randhawa",Mythology,"Music: C. Ramchandra
Lyrics: Kavi Pradeep"
