Title,Director,NGH Cast,Genre,Sources
Aap Aye Bahaar Ayee,Mohan Kumar,"Rajendra Kumar,Sadhna, Prem Chopra",Comedy,
Adhikar,S.M. Sagar,"Ashok Kumar, Nanda, Deb Mukherjee, Pran",Drama,
Albela,A. Shamsheer,"Mehmood, Aruna Irani",Drama,
Amar Prem,Shakti Samanta,"Rajesh Khanna, Sharmila Tagore",Romance,[to be deleted 1972 movie]
Anand,Hrishikesh Mukherjee,"Rajesh Khanna, Amitabh Bachchan, Ramesh Deo, Sunita Sanyal",Drama,
Andaz,Ramesh Sippy,"Shammi Kapoor, Hema Malini, Rajesh Khanna",Drama,
Anubhav,Basu Bhattacharya,"Tanuja, Sanjeev Kumar",Drama,
Badnam Basti,Prem Kapoor,"Nitin Sethi, Nadita Thakur",Drama,
Badnam Farishte,,Sharmila Tagore,Drama,
Balidaan,,"Saira Banu, Manoj Kumar",Drama,
Banphool,Vijay Bhatt,"Jeetendra, Babita, Shatrughan Sinha",Romance,
Beharoopia,Rajesh Nanda,Helen,Drama,
Bikhare Moti,Tapi Chanakya,"Jeetendra, Babita",Romance,
Buddha Mil Gaya,Hrishikesh Mukherjee,"Navin Nischol, Om Prakash, Archana",Drama,
Caravan,Nasir Hussain,"Jeetendra, Asha Parekh, Aruna Irani",Romance,
Chaahat,Homi Bhattacharya,"Jeetendra, Mumtaz, Mala Sinha",Romance,
Chhoti Bahu,K.B. Tilak,"Rajesh Khanna, Sharmila Tagore",Drama,
Do Boond Pani,Khwaja Ahmad Abbas,"Simi Garewal, Madhu Chanda, Jalal Agha",Drama,
Do Raha,,"Shatrughan Sinha, Anil Dhawan",Drama,
Door Ka Raahi,Kishore Kumar,"Tanuja, Kishore Kumar, Ashok Kumar",Drama,
Dost Aur Dushman,Kewal Mishra,"Shatrughan Sinha, Rekha, Vinod Khanna",Drama,
Dushman,Dulal Guha,"Rajesh Khanna, Meena Kumari, Mumtaz",Drama,
Ek Nari Ek Brahmachari,Kotayya Pratyagatma,"Jeetendra, Mumtaz, Aruna Irani",Comedy,
Ek Paheli,Naresh Kumar,"Sanjeev Kumar, Feroz Khan, Aruna Irani",Thriller,
Elaan,K. Ramanlal,"Vinod Mehra, Vinod Khanna, Rekha, Madan Puri",Thriller,
Ek Thi Reeta,Roop K. Shorey,"Vinod Mehra, Tanuja, I. S. Johar, Rehman, Daisy Irani, Faryal, Lolita Chatterjee",Drama,
Gambler,Amarpreet,"Dev Anand, Zaheeda, Shatrughan Sinha, Zahira",Thriller,
Ganga Tera Pani Amrit,,"Nirupa Roy, Narendra Nath, Pran",Drama,
Guddi,Hrishikesh Mukherjee,"Dharmendra, Jaya Bhaduri, Pran",Romance,
Haathi Mere Saathi,M.A. Thirumugham,"Rajesh Khanna, Tanuja",Romance,
Hare Rama Hare Krishna,Dev Anand,"Dev Anand, Zeenat Aman, Mumtaz, Prem Chopra, RajendraNath",Drama,
Haseenon Ka Devata,Ravikant Nagaich,"Sanjay Khan, Rekha, Helen",Drama,
Hulchul,O. P. Ralhan,"Prem Chopra, kabir bedi, zeenat aman, Helen, Madan Puri",Thriller,
Hum Tum Aur Woh,Shiv Kumar,"Vinod Khanna, Bharathi",Drama,
Hungama,,"Kishore Kumar, Vinod Khanna, Mumtaz",Comedy,
Jaane-Anjaane,Shakti Samanta,"Shammi Kapoor, Vinod Khanna, Leena Chandavarkar",Drama,
Jai Bangladesh,I. S. Johar,"Kabari Choudhury, Dilip Dutt",Drama,
Jai Jawan Jai Makan,Vishram Bedekar,"Jaya Bhadhuri, Anil Dhawan",Drama,
Jal Bin Machhli Nritya Bin Bijli,Rajaram Vankudre Shantaram,"Dina Pathak, Abhijeet",Romance,
Jawan Mohabbat,Bhappi Sonie,"Shammi Kapoor, Asha Parekh, Mumtaz, Pran",Romance,
