Title,Director,Cast,Genre,Sources / notes
27 Down,Awtar Krishna Kaul,"Raakhee, Sudhir Dalvi",Drama,
36 Ghante,Raj Tilak,Parveen Babi,Thriller,
5 Rifles,I.S. Johar,"Rajesh Khanna, Shashi Kapoor",Action,
Aahat,Kishor,"Dharmendra, Vinod Mehra, Jaya Bachchan, Shreeram Lagoo",,
Aap Ki Kasam,J. Om Prakash,"Rajesh Khanna, Mumtaz",Romance,
Aashiana,Syed Hussain,Neetu Singh,Drama,
Ajanabee,Shakti Samanta,"Rajesh Khanna, Zeenat Aman",Romance,
Albeli,Karunesh Thakur,"Vinod Mehra, Rehana Sultan",Romance,
Amir Garib,Mohan Kumar,"Dev Anand, Hema Malini, Tanuja",Action,
Anjaan Raahen,Mohan,"Feroz Khan, Asha Parekh",Comedy,
Ankur,Shyam Benegal,Shabana Azmi,Drama,
Apradhi,Jugal Kishore,Yogeeta Bali,Drama,
Archana,Satpal,Sanjeev Kumar,Drama,
Azad Mohabbat,Batra Kaushalraj,Yogeeta Bali,Drama,
Badhti Ka Naam Dadhi,Kishore Kumar,"Kishore Kumar, Ashok Kumar",Drama,
Badi Maa,Ram Narayan Gabale,,,
Badla,Vijay,"Moushumi Chatterjee, Mehmood",Drama,
Balak Dhruv,Himmat Dave,Abhi Bhattacharya,Drama,
Bazaar Band Karo,B.R. Ishara,,,
Benaam,Narendra Bedi,"Amitabh Bachchan, Moushumi Chatterjee",Suspense,
Bidaai,L.V. Prasad,"Jeetendra, Leena Chandavarkar",Drama,
Call Girl,Vijay Kapoor,Vikram,Drama,
Charitraheen,Shakti Samanta,"Sanjeev Kumar, Sharmila Tagore, Parveen Babi",Drama,
Chattan Singh,Kedar Kapoor,"Roopesh Kumar, Vinod Mehra",Drama,
Chhote Sarkar,K. Shankar,Shammi Kapoor,Drama,
Chor Chor,Prem Prakash,"Vijay Anand, Leena Chandavarkar",Drama,
Chor Machaye Shor,Ashok Roy,"Shashi Kapoor, Mumtaz",Drama,
Chorus,Mrinal Sen,"Utpal Dutt, Ajit Baneerjee",Fantasy,
Chowkidar,Shyam Ralhan,"Yogeeta Bali, Vinod Khanna",Drama,
Dawat,B.R. Ishara,Dilip Dutt,Drama,
Dhuen Ki Lakeer,Kishore Sahu,Parveen Babi,Drama,
Dil Diwana,Narendra Bedi,"Jaya Bachchan, Aruna Irani",Drama,
Do Aankhen,Ajoy Biswas,Rekha,Drama,
Do Chattane,G.H. Sarin,Aruna Irani,Drama,
Do Nambar Ke Amir,P.D. Shenoy,Asha Sachdeva,Drama,
Doosri Sita,Gogi Anand,"Jaya Bachchan, Lalita Pawar",Drama,
Dost,Dulal Guha,"Dharmendra, Hema Malini",Drama,
Dulhan,C.V. Rajendran,"Jeetendra, Hema Malini",Drama,
Duniya Ka Mela,Kundan Kumar,"Rekha, Sanjay Khan",Drama,
Ek Anek Aur Ekta,Bhimsian,,Animation,
Farebi,Suresh Issar,"Vinod Khanna, Bindu",Drama,
Faslah,Khwaja Ahmad Abbas,"Shabana Azmi, Vinod Mehra",Drama,
Geeta Mera Naam,Sadhana Shivdasani,"Sunil Dutt, Feroz Khan",Drama,
Goonj,S.U. Syed,"Rakesh Roshan, reena roy [mahendra sandhu]","Horror, Thriller",
Haath Ki Safai,Prakash Mehra,"Vinod Khanna, Randhir Kapoor",Drama,
Hamrahi,Saawan Kumar Tak,"Tanuja, Randhir Kapoor",,
Hanuman Vijay,Babubhai Mistri,Raj Kumar,,
Har Har Mahadev,Chandrakant,"Aruna Irani, Dara Singh",Fantasy,
Hawas,Saawan Kumar Tak,"Rekha, Neetu Singh, anil dhawan",,
Hum Rahi,Anand Sagar,"Randhir Kapoor, Tanuja",,
Humshakal,Jambu,"Rajesh Khanna, Tanuja",Thriller,
Imaan,Padmanabh,"Sanjeev Kumar, Leena Chandavarkar",Romance,
Imtihaan,Madan Sinha,"Vinod Khanna, Tanuja",Drama,
Insaaniyat,Prayag Raj,"Shashi Kapoor, Sujit Kumar",Drama,
International Crook,Pachhi,"Dharmendra, Saira Banu, Feroz Khan",Crime,
Ishq Ishq Ishq,Dev Anand,"Dev Anand, Shabana Azmi, Zeenat Aman",Romance,
Jab Andhera Hota Hai,Deepak Bahry,"Madan Puri, Prem Chopra",Thriller,
Jadu Ka Shankh,Sai Paranjape,Kulbhushan Kharbanda,,
Jai Radhe Krishna,Yeshwant Pethkar,Moha Choti,,
Jeevan Rekha,Nanubhai Bhatt,"Tabrez, Farida Jalal, Pran, K N Singh, Ajit, Jalal Aga, Keshto Mukherjee, Chandrashekhar, Asit Sen",,
Jeevan Sangram,,"Shashi Kapoor, Iftekhar",,
Jurm Aur Sazaa,Nisar Ahmad Ansari,"Vinod Mehra, Nisar Ahmad Ansari",,
Kasauti,Aravind Sen,"Amitabh Bachchan, Hema Malini, Pran",Drama,
Khotey Sikkay,Narendra Bedi,"Danny Denzongpa, Feroz Khan",,
Khoon Ki Keemat,Shibu Mitrav,Ashok Kumar,,
Kisan Aur Bhagwan,Chandrakant,"Dara Singh, Feroz Khan",,
Kora Badan,B.S. Ghad,"Sunil Dutt, Mala Sinha",,
Kora Kagaz,Anil Ganguly,"Vijay Anand, Jaya Bachchan",Romance,
Kunwara Baap,Mehmood,"Mehmood, Vinod Mehra, Bharathi, Lalita Pawar, Sanjeev Kumar",Comedy,
Maa Bahen Aur Biwi,Harbans Kumar,"Kabir Bedi, Raj Kishore",Drama,
Madhosh,Desh Gautam,"Rakesh Roshan, Reena Roy",Drama,
Majboor,Ravi Tandon,"Amitabh Bachchan, Parveen Babi, Farida Jalal, Pran",Drama,
Manoranjan,Shammi Kapoor,"Shammi Kapoor, Sanjeev Kumar, Zeenat Aman",Romance,
Manzilein Aur Bhi Hain,Mahesh Bhatt,"Kabir Bedi, Mukesh Bhatt",Drama,
Mere Saath Chal,,"Smita Patil, Farooq Shaikh",Drama,
Mr. Romeo,Subhash Mukherjee,"Shashi Kapoor, Sarita",Drama,
Naya Din Nai Raat,A. Bhimsingh,"Sanjeev Kumar, Jaya Bachchan",Drama,
Nirmaan,Ravi Tandon,Anoop Kumar,Drama,
