Title,Director,Cast,Genre,sources
Aadmi Sadak Ka,Devendra Goel,"Shatrughan Sinha, Vikram, Zaheera, Sujit Kumar, Deven Verma",,
Aafat,Atma Ram,"Navin Nischol, Leena Chandavarkar, Amjad Khan, Mehmood",,
Aaina,K. Balachander,"Rajesh Khanna, Mumtaz, A. K. Hangal, Nirupa Roy, Lalita Pawar",,
Aakhri Goli,Shibu Mitra,"Sunil Dutt, Leena Chandavarkar, Farida Jalal, Amjad Khan, Om Prakash",Action,
Aakhri Sajda,,"Mala Sinha, Murad, Helen, Jagdeep",,
Aap Ki Khatir,Sudhendu Roy,"Vinod Khanna, Rekha, Nadira, Helen, Tun Tun and Om Shivpuri",,
Aashiq Hoon Baharon Ka,J. Om Prakash,"Rajesh Khanna, Zeenat Aman, Danny Denzongpa, Preeti Ganguli",Romance,
Ab Kya Hoga,Sawan Kumar,"Shatrughan Sinha, Neetu Singh, Asrani, Bindu, Moushumi Chatterjee, Ranjeet",,
Abhi To Jee Lein,Roshan Taneja,"Jaya Bhaduri, Danny Denzongpa, Simi Garewal, Iftekhar",,
Adha Din Adhi Raat,Doondi,,,
Agar... If,Esmayeel Shroff,,,
Agent Vinod,Deepak Bahry,"Mahendra Sandhu, Pinchu Kapoor",,
Alaap,Hrishikesh Mukherjee,"Amitabh Bachchan, Rekha",,
Alibaba Marjinaa,Kedar Kapoor,"Urmila Bhatt, Birbal, Jagdeep, Pinchoo Kapoor, Shakti Kapoor",,
Amaanat,Bimal Roy,"Manoj Kumar, Sadhana Shivdasani, Balraj Sahni, Mehmood",,
Amar Akbar Anthony,Manmohan Desai,"Amitabh Bachchan, Rishi Kapoor, Vinod Khanna, Neetu Singh, Shabana Azmi, Parveen Babi, Pran, Jeevan, Ranjeet, Yusuf Khan",Romance,
Anand Ashram,,,,
Angaare,,,,
Anurodh,Shakti Samanta,"Ashok Kumar, Rajesh Khanna, Simple Kapadia, Vinod Mehra",,
Apnapan,J Om Prakash,"Jetendra, Sulakshna Pandit, Reena Roy",,
Bhumika,Shyam Benegal,"Smita Patil, Naseeruddin Shah, Amrish Puri",Drama,
Chaani,,,,
Chacha Bhatija,Manmohan Desai,"Dharmendra, Hema Malini",Drama,
Chakkar Pe Chakkar,,Pran,,
Chala Murari Hero Banne,Asrani,,,
Chalta Purza,,Rajesh khanna,,
Chandi Sona,,Pran,,
Charandas,,,,
Chhaila Babu,,"Rajesh Khanna, Zeenat Amaan",,
Chor Sipahee,,"Shashikapoor, Parveen Baby",,
Daku Aur Mahatma,,,,
Darinda,Meraj,Sunil Dutt,,
Darling Darling,,"Rajesh Khanna, Zeenat Aman",,
Dharam Veer,Manmohan Desai,"Dharmendra, Jeetendra, Zeenat Aman, Neetu Singh, Pran, Jeevan, Ranjeet",Drama,
Dhoop Chhaon,,,,
Dildaar,,,,
Do Chehere,,,,
Do Sholay,,,,
Doosra Aadmi,Ramesh Talwar,"Rishi Kapoor, Neetu Singh, Raakhee","Romantic, Drama",
Dream Girl,Pramod Chakrovorty,"Dharmendra, Hema Malini",,
Dulhan Wahi Jo Piya Man Bhaaye,,"Prem KIshan, Rameshwari",,
Ek Hi Raasta,,,,
Farishta Ya Qatil,,,,
Gayatri Mahima,,,,
Gharaonda,Bhimsen,"Amol Palekar, Jarina Wahab",,
Haiwan,,,,
Hatyara,,Pran,,
Hira Aur Patthar,,,,
Hum Kisi Se Kum Nahin,Nasir Hussain,"Rishi Kapoor, Amjad Khan",Drama,
Immaan Dharam,,"Amitabh Bachchan, Shashi Kapoor, Sanjeev Kumar, Helen",,
Inkaar,,Vinod Khanna,,
Jadu Tona,,,,
Jagriti,,,,
Jai Dwarkadheesh,,,,
Jallian Wala Bagh,,,,
Janam Janam Na Saath,,,,
Jay Vejay,,,,
Jeevan Mukt,Sudhendu Roy,"Girish Karnad, Laxmi, Parikshat Sahni, Vidya Sinha, Suresh Oberoi","Family, Drama",
Kachcha Chor,,,,
Kalabaaz,,,,
Kali Raat,,,,
Karm,B.R. Chopra,"Rajesh Khanna, Vidya Sinha",,
Kasum Khoon Ki,,,,
Khel Khilari Ka,Arjun Hingorani,,,
Khoon Pasina,Prakash Mehra,"Amitabh Bachchan, Rekha, Vinod Khana",,
Kinara,Gulzar,"Jitendra, Hema Malini, Dharmendra",,
Kissa Kursi Ka,,,,
Kitaab,Gulzar,"Master Raju, Uttam Kumar",,
Kotwal Saab,,"Shatrudhan Sinha, Arpana Sen",,
Ladki Jawan Ho Gayi,,,,
Maha Badmaash,,Rajesh Khanna,,
Mama Bhanja,,,,
Mastan Dada,,,,
Meethi Meethi Baatein,,,,
Mera Vachan Geeta Ki Kasam,,,,
Mit Jayenge Mitane Wale,,"Dharmendra, Govinda, Neelam",,
Mukti,,"Shashi Kapoor, Vidya Sinha, Sanjeev Kumar, Mithun Chakraborty",,
Naami Chor,,,,
Ooparwala Jaane,,,,
Paapi,,"Sunil Dutt, O.P.Ralhan",,
Paheli,,,,
Palkon Ki Chhaon Mein,,,,
Pandit Aur Pathan,Joginder,,,
Parvarish,Manmohan Desai,"Shammi Kapoor, Amitabh Bachchan, Neetu Singh, Vinod Khanna, Shabana Azmi, Amjad Khan",Drama,
Phir Janam Lenge Hum,,,,
Pratima Aur Paayal,,,,
Prayashchit,,,,
Priyatama,Basu Chaterjee,"Jeetendra, Neetu Singh",,
Ram Bharose,,Randheer Kapoor,,
Safed Haathi,Tapan Sinha,,,
Safed Jhoot,,"Vinod Mehra, Moushumi Chatterjee",,
Saheb Bahadur,Chetan Anand,,,
Shankar Hussain,,Kanwaljet,,
Shatranj Ke Khiladi,Satyajit Ray,"Sanjeev Kumar, Shabana Azmi, Farida Jalal",Drama,
Shirdi Ke Sai Baba,,,,
Shri Ram Vanvas,,,,
Swami,,"Girish Karnad, Shabana Azmi",,
Taxi Taxie,,"Amol Palekar, Rama Vij",,
Thief of Baghdad,,,,
Tinku,,Rajesh Khanna,,
Tyaag,,Rajesh Khanna,,
Vishwasghaat,,Sanjeev Kumar,,
Yaaron Ka Yaar,,,,
Yehi Hai Zindagi,,"Sanjeev Kumar, Lucky Ali",,
Zamaanat,,"Jeetendra, Reena Roy, Amjad Khan",,
Zehreeli,,,,
