"Title","Director","Cast","Genre","Sources",
"3D Saamri","Shyam Ramsay, Tulsi Ramsay","Rajan Sippy, Arti Gupta, Puneet Issar","Horror","",
"Aaj Ka Dada","V.V. Guhanathan","Rajnikanth, Silk Smitha, Sridevi","","",
"Aaj Ka Daur","K. Bapaiah","Nirupa Roy, Anwar Ali, Shoma Anand","Action, Crime, Drama","",
"Aakhir Kyon?","J. Prakash","Rajesh Khanna, Smita Patil, Rakesh Roshan","Drama, Family","",
"Aandhi-Toofan","Babbar Subhash","Shashi Kapoor, Hema Malini, Danny Denzongpa","","",
"Aar Paar (1985 film)","Shakti Samanta","Mithun Chakraborty, Mandakini, Rajesh Khanna","","",
"Adventures of Tarzan","Babbar Subhash","Hemant Birje, Raja Duggal, Kimi Katkar","Action, Adventure, Romance","",
"Aghaat","Govind Nihalani","Om Puri, Gopi, Pankaj Kapur","Drama, Crime","",
"Aitbaar","Mukul Anand","Raj Babbar, Dimple Kapadia, Suresh Oberoi, Danny Denzongpa, Sharat Saxena","Thriller","",
"Alag Alag","Shakti Samanta","Rajesh Khanna, Shashi Kapoor, Tina Munim","Family, Musical, Romance","",
"Ameer Aadmi Gharib Aadmi","Amjad Khan","Zeenat Aman, Rabia Amin","","",
"Anantyatra","Jayoo Patwardhan, Nachiket Patwardhan","Vikas Desai, Rohini Hattangadi, Sudhir Joshi","","",
"Ankahee","Amol Palekar","Anil Chatterjee, Shreeram Lagoo, Vinod Mehra","","",
"Anokha Modh","Kamal Chandhok","Vinay, Prerana Khanna, Vyjayanti Chavan","","",
"Arjun","","Sunny Deol, Amar Rajesh, Dimple Kapadia, Raj Kiran","Action","",
"Aurat Per Ki Juti Nahin Hai","","Gulshan Grover, Deepti Naval, Marc Zuber","Drama","",
"Awara Baap","","Rajesh Khanna, Meenakshi Sheshadri, Rajan Sippy","","",
"Ba Ki Yaad Mein","Ketan Mehta","","","",
"Baadal","","Shammi Kapoor, Mithun Chakraborty, Poonam Dhillon","","",
"Babu","A.C. Trilokchander","Rajesh Khanna, Hema Malini, Mala Sinha, Rati Agnihotri","Drama, Family","",
"Bahu Ki Awaaz","Shashilal K. Nair","Vikas Anand, Bharat Bhushan, B.L. Chopra","Drama","",
"Balidaan","S.A. Chandrashekhar","Anuradha, Vijay Arora, Asrani","Action, Thriller","",
"Bandhan Anjana","Prabhat Roy","Chandrashekhar, Utpal Dutt, Mazhar Khan","","",
"Bepanaah","Jagdish Sidana","Shashi Kapoor, Mithun Chakraborty, Poonam Dhillon","Drama, Family","",
"Bewafai","R. Thayagarajan","Rajesh Khanna, Rajnikanth, Padmini Kolhapure, Pran","Crime, Drama, Family, Romance","",
"Bhago Bhut Aaya","Krishna Naidu","Ashok Kumar, Aruna Irani, Deven Verma","Fantasy, Action, Adventure","",
"Bhagwan Shri Krishna","Ram Kumar Bohra","Ajit Bhalla, Kumud Bole, Manher Desai","Fantasy, Action, Adventure","",
"Bhavani Junction","Dinesh","Shashi Kapoor, Shatrughan Sinha, Zeenat Aman, Rati Agnihotri","Action, Crime, Thriller","",
"Bond 303","","Jeetendra, Tom Alter, Parveen Babi, Prem Chopra","","",
"Damul","Prakash Jha","Annu Kapoor, Sreela Majumdar, Deepti Naval","","",
"Debshishu","Utpalendu Chakrabarty","Sadhu Meher, Smita Patil","Drama","",
"Dekha Pyar Tumhara","Virendra Sharma","Kamal Hassan, Rati Agnihotri, Deven Verma","Comedy, Drama","",
"Do Dilon Ki Dastaan","A.C. Triloga Chander","Sanjay Dutt, Padmini Kolhapure, Shakti Kapoor","Romance","",
"Durgaa","Shibu Mitra","Rajesh Khanna, Hema Malini, Pran","Action, Crime","",
"Ek Chitthi Pyar Bhari","Vijay Sadanah","Raj Babbar, Reena Roy, Agha","Drama","",
"Ek Daku Saher Mein","Kalidas","Ashok Kumar, Pradeep Kumar, Suresh Oberoi","","",
"Ek Se Bhale Do","S.V. Rajendra Singh","Rati Agnihotri, Balwant Dullat, Kumar Gaurav","Action, Comedy, Drama, Romance","",
"Faasle","Yash Chopra","Farooq Sheikh, Deepti Naval, Sunil Dutt","Romance","",
"Geraftaar","Prayag Raaj","Amitabh Bachchan, Madhavi, Kamal Hassan, Poonam Dhillon, Rajinikanth","Action, Adventure, Drama, Musical, Family","",
"Ghar Dwaar","Kalpataru","Tanuja, Sachin, Raj Kiran","","",
"Ghulami","J. P. Dutta","Dharmendra, Mithun Chakraborty, Naseeruddin Shah, Reena Roy, Smita Patil, Anita Raj & Kulbhushan Kharbanda","","",
"Golimar","","","","",
"Haqeeqat","Rama Rao Tatineni","Asrani, Raj Babbar, Beena Banerjee","","",
"Haveli","Keshu Ramsay","Rakesh Roshan, Marc Zuber, Aaloka","Horror, Crime, Thriller","",
"Hoshiyar","K. Raghavendra Rao","Jeetendra, Shatrughan Sinha, Asrani, Pran","","",
"Hum Dono","B.S. Glaad","Rajesh Khanna, Hema Malini, Reena Roy","Comedy, Musical, Romance, Family","",
"Hum Naujawan","Dev Anand","Dev Anand, Bunty Behl, Richa Sharma","Action, Drama, Family","",
"Insaaf Main Karoonga","Shibu Mitra","Rajesh Khanna, Padmini Kolhapure, Tina Munim","Crime, Mystery, Thriller","",
"Jaago","","Kamal Kapoor","","",
"Jaan Ki Baazi","Ajay Kashyap","Sanjay Dutt, Anita Raj, Anuradha Patel","Action","",
"Jaanoo","Jainendra Jain","Jackie Shroff, Khushboo, Rati Agnihotri","","",
"Jawaab","Ravi Tandon","Vikas Anand, Raj Babbar, Abhi Bhattacharya","Romance, Thriller","",
"Jhoothi","Hrishikesh Mukherjee","Rekha, Raj Babbar, Amol Palekar","Comedy","",
"Kabhi Ajnabi The","","Ramesh Deo, Seema Deo, Poonam Dhillon","Romance, Sport","",
"Kala Suraj","Desh Gautam","Sulakshana Pandit, Rakesh Roshan, Shatrughan Sinha","","",
"Kali Basti","Sudesh Issar","Shatrughan Sinha, Reena Roy, Vijayendra Ghatge","","",
"Karishma Kudrat Kaa","Sunil Hingorani","Rati Agnihotri, Urmila Bhatt, Mithun Chakraborty","Action","",
"Karm Yudh","Swaroop Kumar","Mithun Chakraborty, Anita Raj, Pran, Amrish Puri","","",
"Khamosh","Vidhu Vinod Chopra","Shabana Azmi, Amol Palekar, Sudhir Mishra","Mystery, Thriller","",
"Lallu Ram","Shiv Kumar","Urmila Bhatt, Vyjayanti Chavan, Gajendra Chouhan","Action, Comedy, Drama","",
"Lava","","Raj Babbar, Dimple Kapadia, Asha Parekh","Family, Drama","",
"Lover Boy","Shomu Mukerji","Rajiv Kapoor, Meenakshi Sheshadri, Anita Raj","","",
