Title,Director,Cast,Genre,Source
108 Teerthyatra,Rajpati,"Pravin Anand, Nayan Bhatt, Jeetu","Comedy, Drama, Fantasy",
7 Saal Baad,S.U. Syed,"Major Anand, Chandrashekhar, Anil Chaudhary","Romance, Horror, Drama, Fantasy",
Aag Hi Aag,Shibu Mitra,"Dharmendra, Shatrughan Sinha, Moushumi Chatterjee, Neelam",Action,
Aage Mod Hai,,,,
Aaj,Mahesh Bhatt,"Raj Babbar, Kumar Gaurav, Raj Kiran",,
Ahsaan,Balwant Dullat,"Raj Babbar, Amjad Khan, Raj Kiran, Smita Patel",,
Andha Yudh,Dayal Nihalani,"Raj Babbar, Nana Patekar, Pallavi Joshi, Divya Rana, Rohini Hattangadi","Drama, Thriller",
Anjaam,T. Hariharan,"Shafi Inamdar, Shashi Kapoor, Hema Malini",,
Apne Apne,Ramesh Behl,"Beena Banerjee, Atlee Brar, Dan Dhanoa",,
Aulad,Vijay Sadanah,"Jeetendra, Jayapradha, Sridevi",Drama,
Awam (film),B.R Chopra,"Rajesh Khanna, Ashok Kumar, Smita Patil","Adventure, Mystery, Thriller",
Bandhani,Ketan Mehta,,,
Banoo,"Madan Jain, Jayshree T.",,,
Besahara,B.R. Ishara,,,
Dacait,Rahul Rawail,"Rakhee Gulzar, Sunny Deol, Meenakshi Sheshadri",Action,
Dadagiri (film),Deepak S. Shivdasani,"Dharmendra, Govinda, Rati Agnihotri","Action, Crime, Drama, Romance",
Dak Bangla,Keshu Ramsay,"Aaloka, Bhakti Bhansali, Leena Das",Horror,
Daku Hasina,Ashok Roy,"Zeenat Aman, Rajnikanth, Pradeep Kumar",,
Dance Dance,B. Subhash,"Mithun Chakraborty, Smita Patil, Mandakini",,
Daraar,"Kiran Kumar, Chunky Pandey",,,
Deewana Tere Naam Ka,Deepak Bahry,"Master Bhagwan, Mithun Chakraborty, Leena Das, Vijeta Pandit",,
Dil Tujhko Diya,Rakesh Kumar,"Kumar Gaurav, Rati Agnihotri, Mala Sinha",,
Diljalaa,Bapu,"Rita Bhaduri, Kamal Chopra, Danny Denzongpa, Farha Naaz","Action, Crime, Drama, Romance",
Dilruba Tangewali,S. R. Pratap,"Hemant Birje, Sripada, Pran, Deva, Rajendra Nath, Krishna Devi, Chand Usmani",,
Dozakh,Suhaas Khandke,"Pallavi Bhatt, Trilok Kapoor, Suhaas Khandke",,
Ek Aur Itihas,Prakash Jha,,,
Ek Chor Ek Hasina,K. Ragavendra Rao,"Sridevi, Krishna Ghattamaneni",,
Ek Ladki Badnaam Si,,,,
Faqeer Badshah,Subhash,"Danny Denzongpa, Roma Manik, Bindu",Action,
Ghar Ka Sukh,Kalpataru,Raj Kiran,,
Goraa,Desh Gautam,"Rajesh Khanna, Sulakshana Pandit, Raj Kiran, Pran",,
Gulami Ki Zaanjeerein,,Kader Khan,,
