Title,Director,Cast,Genre,Sources
"Aadhi Haqeeqat, Aadha Fasana",Dilip Ghosh,,,
Aag Ka Dariya,S.V. Rajendra Singh,"Dilip Kumar, Rekha, Padmini Kolhapure, Amrita Singh",Drama,
Aag Ka Gola,David Dhawan,"Sunny Deol, Dimple Kapadia, Archana Puran Singh",Action,
Aaj Ka Arjun,K.C. Bokadia,"Amitabh Bachchan, Jayapradha","Action, Drama",
Aaj Ke Shahenshah,Shibu Mitra,"Raj Babbar, Jeetendra, Kimi Katkar",,
Aakhri Sangam,,"Nirosha, Aurn Pandian, Ramki","Action, Romance",
Aandhiyan,David Dhawan,"Shatrughan Sinha, Mumtaz",,
Aashiqui,Mahesh Bhatt,"Rahul Roy, Anu Agarwal","Romance, Drama",
Awaaz De Kahan Hai,Sibte Hassan Rizvi,"Bindu, Annu Kapoor, Satyendra Kapoor",,
Abu Kaliya,C.K. Kader,,,
Agneekaal,,"Sadashiv Amrapurkar, Tinnu Anand, Raj Babbar","Action, Crime, Drama",
Agneepath,Mukul S. Anand,"Amitabh Bachchan, Madhavi, Biswa Roy, Neelam, Mithun, Danny",Action,
Amba,Mohan Kumar,"Shabana Azmi, Anil Kapoor, Meenakshi Sheshadri",Family,
Amiri Garibi,Harmesh Malhotra,"Jeetendra, Rekha, Rishi Kapoor",Family,
Andher Gardi,Ashok Tyagi,Kimi Katkar,,
Apmaan Ki Aag,Talukdaars,"Adil Amaan, Rakesh Bedi, Dasharat","Action, Comedy, Crime",
Appu Raja,Singeetham Srinivasa Rao,"Kamal Hassan, Rupini, Gouthami, Srividya, Nagesh",Comedy,
Atishbaz,Mukhtar Ahmed,"Tom Alter, Renu Arya, Prem Chopra",,
Attilokasundari,,Sridevi,,
Aulad Ki Khatir,,,,
Awaargi,Mahesh Bhatt,"Anil Kapoor, Govinda, Paresh Rawal, Meenakshi Sheshadri",Drama,
Awaragardi,Swaroop Kumar,"Kimi Katkar, Raza Murad, Aditya Pancholi",,
Awwal Number,Dev Anand,"Dev Anand, Aamir Khan, Ekta Sohini",Action,
Azaad Desh Ke Gulam,S.A. Chandrashekhar,"Vikas Anand, Rakesh Bedi, Suresh Bhagwat, Pran","Action, Family",
Baaghi: A Rebel for Love,Deepak Shivdasani,"Salman Khan, Naghma","Action, Romance",
Baap Numbri Beta Dus Numbri,,"Jackie Shroff, Farah, Aditya Pancholi,Sabeeha","Action, Crime, Comedy",
Bahaar Aane Tak,Tariq Shah,"Roopali Ganguly, Ram Mohan, Navin Nischol",Family,
Bandh Darwaza,"Shyam Ramsay, Tulsi Ramsay","Hashmat Khan, Manjeet Kullar, Kunika","Action, Crime, Horror",
Chingariyan,,Danny Denzongpa,,
Chor Pe Mor,Kapil Kapoor,"Naseeruddin Shah, Karan Shah, Neelam",,
C.I.D.,Ajay Goel,"Vinod Khanna, Amrita Singh, Suresh Oberoi",,
College Girl,,"Amita Nangia, Pankaj Berry, Veerendra Singh",,
