Title,Director,Cast,Genre,Music Director
Aaj Ka Goonda Raaj,Ravi Raja,"Chiranjeevi, Meenakshi Sheshadri, Raj Babbar","Action, Thriller, Family",Anand-Milind
Aaj Ki Taaqat,Anil Nagrath,"Sunil Puri, Upasana Singh, Jaya Mathur",Action,
Aasmaan Se Gira,Pankaj Parashar,"Abhishek Chitlangia, Raghuvir Yadav, Anupam Kher",,
Adharm,Aziz Sejawal,"Shabana Azmi, Shatrughan Sinha, Sanjay Dutt",Thriller,Anand-Milind
Agar Aap Chahein,Mazahir Rahim,Makarand Deshpande,Family,
Ajeeb Dastaan Hai Yeh,J. Om Prakash,"Vikas Anand, Rita Bhaduri, Suraj Chaddha",Drama,
Angaar,Shashilal. K. Nair,"Jackie Shroff, Dimple Kapadia, Om Puri","Action, Drama",Laxmikant-Pyarelal
Anaam,Ramesh Modi,"Armaan Kohli, Ayesha Jhulka, Kiran Kumar","Action, Drama, Thriller",Nadeem-Shravan
Apradhi,K. Ravi Shankar,"Anil Kapoor, Vijayashanti",,Laxmikant-Pyarelal
Baaz,S. Subhash,"Govinda, Sonam, Tinu Anand, Archana Puran Singh",Drama,Anand-Milind
Balwaan,Deepak Anand,"Sunil Shetty, Divya Bharati, Danny Denzongpa",Action,Mahesh Kishore
Basanti Tangewali,Kanti Shah,"Ashrat Ali, Sadashiv Amrapurkar, Avtar Gill",,
Bekhudi,Rahul Rawail,"Kajol, Kamal Sadanah, Ajay Mankotia, Tanuja, Vijayendra Ghatge",Romance,Nadeem-Shravan
Beta,Indra Kumar,"Anil Kapoor, Madhuri Dixit, Aruna Irani",Drama,Anand-Milind
Bewaffa Se Waffa,Saawan Kumar Tak,"Vivek Mushran, Juhi Chawla, Nagma, Pran",Romance,Usha Khanna
Bol Radha Bol,David Dhawan,"Rishi Kapoor, Juhi Chawla, Kader Khan","Comedy, Drama",Anand-Milind
Chamatkar,Rajiv Mehra,"Shah Rukh Khan, Urmila Matondkar, Naseeruddin Shah, Shammi Kapoor","Fantasy, Comedy",Anu Malik
Cheluvi,Girish Karnad,"Girish Karnad, Sonali Kulkarni, Prashant Rao",,
Current,K. Hariharan,"Om Puri, Deepti Naval, Shreeram Lagoo",Drama,
Daku Aur Police,,Naseeruddin Shah,,
Daulat Ki Jung,S. A. Kadher,"Aamir Khan, Juhi Chawla, Shafi Inamdar","Action, Drama",Anand-Milind
Deedar,Pramod Chakravarthy,"Akshay Kumar, Karishma Kapoor","Action, Romance",Anand-Milind
Deewana,Raj Kanwar,"Rishi Kapoor, Divya Bharti, Shah Rukh Khan",Romance,Nadeem-Shravan
Dharavi,Sudhir Mishra,"Shabana Azmi, Om Puri, Madhuri Dixit","Crime, Drama",
Dil Aashna Hai,Hema Malini,"Divya Bharti, Shahrukh Khan, Amrita Singh, Dimple Kapadia, Sonu Walia,",Romance,Anand-Milind
Dil Hi To Hai,Asrani,"Jackie Shroff, Divya Bharti, Shilpa Shirodkar",Drama,Laxmikant-Pyarelal
Dil Ka Kya Kasoor,Lawrence D'Souza,"Prithvi (actor), Divya Bharti",Romance,Nadeem-Shravan
Dilwale Kabhi Na Hare,V. Menon,"Rahul Roy, Prithvi (actor), Nagma",Romance,Nadeem-Shravan
Do Hanso Ka Joda,Talwar G D,"Anupam Kher, Beena Banerjee, Kanchan (actress), Mohan Kumar, Pran, Reema Lagoo",,
Drohi,Ram Gopal Varma,"Nagarjuna Akkineni, Urmila Matondkar, Danny Denzongpa",,
Dushman Zamana,,"Divya Bharti, Armaan Kohli, Paresh Rawal",,Shyam-Surender
Ek Ladka Ek Ladki,Lawrence D'Souza,"Salman Khan, Neelam, Anupam Kher",Thriller,Anand-Milind
Ganga Bani Shola,,"Jamuna, Shakti Kapoor, Kader Khan",,
Ganga Ka Vachan,Gulshan Ashte,"Avtar Gill, Gulshan Grover, Dinesh Hingoo",Action,
Geet,Partho Ghosh,"Avinash Wadhavan, Divya Bharti, Laxmikant Berde",,Bappi Lahiri
Ghar Jamai,Arun Bhatt,"Rita Bhaduri, Mithun Chakraborty, Varsha Usgaonkar, Shakti Kapoor, Prem Chopra","Drama, Comedy, Family",Anand-Milind
Ghazab Tamasha,Ranjeet,"Rahul Roy, Anu Aggarwal, Tanuja",Family,Anand-Milind
Heer Ranjha,Harmesh Malhotra,"Anil Kapoor, Sridevi, Anupam Kher",Romance,Laxmikant-Pyarelal
Honeymoon,Surendra Mohan,"Rishi Kapoor, Varsha Usgaonkar, Ashwini Bhave","Comedy, Drama",Anand-Milind
Humlaa,N. Chandra,"Ashok Kumar, Dharmendra, Anil Kapoor, Kimi Katkar",Action,Laxmikant-Pyarelal
Humshakal,Kalptaru,"Shammi Kapoor, Vinod Khanna, Nirupa Roy, Meenakshi Sheshadri",,Laxmikant-Pyarelal
I Love You,,"Prashanth (actor), Sabah, Tanuja, Reema Lagoo, Laxmikant Berde, Asrani",Romance,Ram Laxman
Insaaf Ki Devi,S.A. Chandrashekhar,"Jeetendra, Rekha",Action,
Insaan Bana Shaitan,Mohan Bhakri,"Deepak Parashar, Anil Dhawan, Jagdeep",Horror,
Inteha Pyar Ki,J.K. Bihari,"Rishi Kapoor, Rukhsaar RehmaanSushma Seth","Drama, Family, Musical, Romance",Anand-Milind
Isi Ka Naam Zindagi,Kalidas,"Aamir Khan, Farha Naaz, Asrani, Pran","Family, Comedy, Drama",Bappi Lahiri
Jaagruti,Suresh Krissna,"Salman Khan, Karisma Kapoor, Ashok Saraf, Prem Chopra, Raza Murad","Crime, Drama",Anand-Milind
Jaan Se Pyaara,Anand,"Govinda, Divya Bharti","Crime, Drama",Anand-Milind
Jaan Tere Naam,Deepak Balraj Vij,"Ronit Roy, Sulbha Deshpande",Romance,Nadeem-Shravan
Jaanam,Vikram Bhatt,"Rahul Roy, Pooja Bhatt, Paresh Rawal",Romance,Anu Malik
Jai Kaali,Nikhil Saini,"Jeetendra, Hema Malini",Thriller,
Jeena Marna Tere Sang,Vijay Reddy,"Sanjay Dutt, Raveena Tandon, Javed Jaffrey",Romance,Dilip Sen - Sameer Sen
Jigar,Farogh Siddique,"Ajay Devgan, Karishma Kapoor, Gulshan Grover","Action, Romance",Anand-Milind
Jo Jeeta Wohi Sikandar,Mansoor Khan,"Aamir Khan, Ayesha Jhulka, Pooja Bedi, Kulbhushan Kharbanda, Deepak Tijori","Drama, Romance",Jatin Lalit
Junoon,Mahesh Bhatt,"Rahul Roy, Pooja Bhatt, Tom Alter, Rakesh Bedi","Horror, Thriller",Nadeem-Shravan
Kal Ki Awaz,"B.R. Chopra, Ravi Chopra","Dharmendra, Raj Babbar, Amrita Singh",Action,Nadeem-Shravan
Karm Yodha,Dayal Nihalani,"Raj Babbar, Dimple Kapadia","Action, Drama",
Kasak,K. Bapaiah,"Rishi Kapoor, Neelam Kothari, Chunky Pandey",,Rajesh Roshan
Khel,Rakesh Roshan,"Anil Kapoor, Madhuri Dixit, Sonu Walia",Romance,Rajesh Roshan
Khiladi,Abbas Mustan,"Akshay Kumar, Ayesha Jhulka, Deepak Tijori, Shakti Kapoor","Romance, Drama, Thriller",Jatin Lalit
Khuda Gawah,Mukul Anand,"Amitabh Bachchan, Sridevi, Nagarjuna Akkineni, Shilpa Shirodkar","Drama, Romance",Laxmikant-Pyarelal
Khule-Aam,Arun Dutt,"Dharmendra, Shammi Kapoor, Neelam Kothari, Chunky Pandey, Moushumi Chatterjee",Action,
Kisme Kitna Hai Dum,Mahendra Sandhu,Mahendra Sandhu,,
Laat Saab,Sunil Agnihotri,"Jackie Shroff, Neelam Kothari","Action, Crime, Drama, Thriller",Anu Malik
Lambu Dada,Sharad Chaudhary,"Kabir Bedi, Madhavi (actress)","Action, Crime, Drama",
Maa,Ajay Kashyap,"Jeetendra, Jaya Prada, Aruna Irani",,Anu Malik
Maarg,Mahesh Bhatt,"Vinod Khanna, Hema Malini, Dimple Kapadia",Drama,
Mashooq,"Heemayun Mirza, Mahrukh Mirzaa","Ayub Khan (actor), Ayesha Jhulka, Kiran Kumar, Pran","Drama, Romance",Shyam - Surender
Meera Ka Mohan,K. Ravi Shankar,"Avinash Wadhavan, Ashwini Bhave",,Arun Paudwal
Mehboob Mere Mehboob,Ramanjit Juneja,"Sujoy Mujherjee, Pratibha Sinha, Mohnish Bahl, Beena Banerjee",Romance,Raamlaxman
Mera Dil Tere Liye,S.A. Chandrashekhar,"Gopi Bhalla, Mamta Kulkarni, Aruna Irani",Romance,
Mere Sajana Saath Nibhana,Rajesh Vakil,"Mithun Chakraborty, Juhi Chawla, Shanti Priya","Drama, Musical",Anand-Milind
Mr Bond,Raj Sippy,"Akshay Kumar, Sheeba","Action, Romance",Anand-Milind
Muskurahat,Priyadarshan,"Jay Mehta, Revathi Menon, Annu Kapoor, Amrish Puri",Drama,Ram Laxman
Nagin Aur Lootere,Mohan T. Gehani,"Neelima Azeem, Goga Kapoor, Shakti Kapoor","Fantasy, Musical",
Naseebwaala,Kalpataru,"Chunky Pandey, Farha Naaz",,
Nishchaiy,Esmayeel Shroff,"Vinod Khanna, Salman Khan, Karishma Kapoor","Action, Crime, Drama",O.P. Nayar
Paayal,Mahendra Shah,"Himalaya Dasani, Bhagyashree Patwardhan, Aruna Irani",Romance,Nadeem Shravan
Panaah,Krishnakant Pandya,"Naseeruddin Shah, Siddharth Ray, Pallavi Joshi, Kiran Kumar, Pran",,Nadeem-Shravan
Parampara,Yash Chopra,"Sunil Dutt, Vinod Khanna, Ashwini Bhave, Ramya Krishna, Aamir Khan, Saif Ali Khan, Raveena Tandon, Neelam",Romance,Shiv - Hari
Parasmani,Mohan T. Gehani,"Siddhant, Madhuri, Goga Kapoor",,
Parda Hai Parda,K. Bapaiah,"Kiran Kumar, Meena, Chunky Pandey, Laxmikant Berde, Raj Zutshi",,Anand-Milind
Police Aur Mujrim,K.C. Bokadia,"Raaj Kumar, Vinod Khanna, Meenakshi Sheshadri, Nagma","Action, Musical, Romance",Bappi Lahiri
Police Officer,Ashok Gaikwad,"Jackie Shroff, Karishma Kapoor, Gulshan Grover",Action,Anu Malik Anand-Milind
Prem Deewane,Sachin Pilgaonkar,"Jackie Shroff, Madhuri Dixit, Pooja Bhatt",Romance,Laxmikant-Pyarelal
Pyar Hua Chori Chori,K. Bapaiah,"Mithun Chakraborty, Gautami, Shikha Swaroop",,Laxmikant-Pyarelal
Qaid Mein Hai Bulbul,Ravindra Peepat,"Himalaya Dasani, Bhagyashree Patwardhan, Sudha Chandran",,Anand-Milind
