"Title","Director","Cast","Genre",
"1942: A Love Story","Vidhu Vinod Chopra","Anil Kapoor, Manisha Koirala, Jackie Shroff, Anupam Kher, Pran, Danny Denzongpa","Romance, Social",
"Aa Gale Lag Jaa","Hamid Ali Khan","Jugal Hansraj, Urmila Matondkar, Ajit, Ishrat Ali","Romance",
"Aag","K. Ravi Shankar","Shilpa Shetty, Govinda, Sonali Bendre","Romance",
"Aag Andhi Aur Toofan","Kanti Shah","","",
"Aag Aur Chingari","Kanti Shah","Asrani, Shakti Kapoor, Ravi Kishan","",
"Aaja Re O Sajana","","","",
"Aaja Sanam","","","",
"Aao Pyaar Karen","Ravendra Peepat","Saif Ali Khan, Shilpa Shetty, Somy Ali","Drama, Romance",
"Aatish: Feel the Fire","Sanjay Gupta","Sanjay Dutt, Karisma Kapoor, Raveena Tandon","",
"Ab To Aaja Saajan Mere","Rakesh A. Nahata","Arvind Joshi, Shalini Kapoor, Roma Manik","Drama, Romance",
"Amanaat","Raj N Sippy","Sanjay Dutt, Heera Rajgopal, Akshay Kumar","Action, Adventure",
"Andaz","David Dhawan","Anil Kapoor, Juhi Chawla, Karisma Kapoor","Action, Comedy, Crime, Drama",
"Andaz Apna Apna","Rajkumar Santoshi","Aamir Khan, Salman Khan, Raveena Tandon, Karishma Kapoor, Paresh Rawal, Shakti Kapoor, Viju Khote","Comedy",
"Anjaam","Rahul Rawail","Madhuri Dixit, Deepak Tijori, Shah Rukh Khan","Drama, Thriller",
"Anokha Premyudh","","Arun, Aruna Irani, Shakti Kapoor","Comedy, Drama, Family, Romance",
"Anth","Sanjay Khanna","Sunil Shetty, Somy Ali","Action",
"Aranyaka","Apurba Kishore Bir","Mohan Gokhale, Sanjana Kapoor, Navni Parihar","",
"Baali Umar Ko Salaam","Vasant R. Patel","Kamal Sadanah, Beena Banerjee, Tisca Chopra","Action, Comedy, Drama",
"Bandit Queen","Shekhar Kapur","Seema Biswas Nirmal Pandey","Biography, Social",
"Beta Ho To Aisa","C.P. Dixit","Vikas Anand, Anuradha, Asrani","",
"Betaaj Badshah","Iqbal Durrani","Raaj Kumar, Shatrughan Sinha, Jay Mehta","",
"Brahma","K. Subhash","Govinda, Madhoo, Ayesha Jhulka","",
"Chaand Kaa Tukdaa","Saawan Kumar","Sridevi, Salman Khan","Action, Comedy, Drama",
"Chauraha","Sadaqat Hussein","Jeetendra, Jackie Shroff, Jayapradha","",
"Cheetah","Harmesh Malhotra","Mithun Chakraborty, Ashwini Bhave","",
"Chhoti Bahoo","M.M. Baig","Vikas Anand, Beena Banerjee, Bindu","Drama, Family",
"Didi","Prakash Jha","","",
"Dilbar","B. Krishna Rao","Mamta Kulkarni, Rishikesh Raj, Nawaz Khan","Drama, Romance, Family",
"Dilwale","","Ajay Devgan, Sunil Shetty, Paresh Rawal, Raveena Tandon","Romance",
"Do Fantoosh","Sikander Bharti, Veerendra","Sadashiv Amrapurkar, Vikas Anand, Ishita Babbar","Comedy",
"Droh Kaal","","Om Puri, Naseeruddin Shah, Mita Vasisht","",
"Dulaara","Vimal Kumar","Govinda, Karishma Kapoor Gulshan Grover","Thriller",
"Eena Meena Deeka","David Dhawan","Vinod Khanna, Rishi Kapoor, Juhi Chawla","Action, Crime, Comedy",
"Ekka Raja Rani","Afzal Ahmad","Vinod Khanna, Govinda, Ayesha Jhulka, Ashwini Bhave","",
"Elaan","","Akshay Kumar, Madhoo","",
"Ganga Aur Ranga","Joginder","Sahila Chaddha, Suresh Chatwal, Anita Chopra","Action",
"Gangster","Dev Anand","Mamta Kulkarni, Manu Gargi, Anita Ayoob","Action, Drama, Thriller",
"Ghar Ki Izzat","Kalpataru","Jeetendra, Rishi Kapoor, Anita Raj","Comedy, Romance, Musical",
"Gopalaa","Akash Jain","Bindu, Suresh Chatwal, Prem Chopra","",
"Gopi Kishan","Mukesh Duggal","Sunil Shetty, Karisma Kapoor, Shilpa Shirodkar","Action, Comedy, Crime, Drama",
"Hanste Khelte","Bharat Rangachary","Rahul Roy, Aparajita","Comedy, Drama",
"Hum Aapke Hain Koun..!","Sooraj R. Barjatya","Salman Khan, Madhuri Dixit, Alok Nath, Renuka Shahane, Reema Lagoo, Anupam Kher, Bindu","Romance",
"Hum Hain Bemisaal","Deepak Bahry","Akshay Kumar, Sunil Shetty, Shilpa Shirodkar, Madhoo","",
"Ikke Pe Ikka","Raj Sippy","Akshay Kumar, Shanti Priya, Prithvi","Action, Comedy",
"Insaaf Apne Lahoo Se","Latif Khan","Shatrughan Sinha, Sanjay Dutt, Shekhar Suman","Action, Drama",
"Insaniyat","Tony Juneja","Amitabh Bachchan, Sunny Deol, Raveena Tandon, Chunky Pandey, Jayaprada, Sonam, Anupam Kher, Prem Chopra, Alok Nath, Aftab Shivdasani, Vinod Mehra, Nutan","Action, Crime, Drama",
"Ishq Mein Jeena Ishq Mein Marna","Miraq Mirza","Divya Dutta, Brij Gopal, Shafi Inamdar","Romance",
"Jai Kishen","","Akshay Kumar, Ayesha Jhulka","",
"Jai Maa Karwa Chauth","Pradeep Pandit","Master Ankit, Banjara, Kishore Anand Bhanushali","Drama, Fantasy, History",
"Janam Se Pehle","B.R. Ishara","Raj Babbar, Farha Naaz, Sumeet Saigal","",
