Title,Director,Cast,Genre
1947 Earth,Deepa Mehta,"Aamir Khan, Rahul Khanna, Nandita Das",Social
2001: Do Hazaar Ek,Raj N. Sippy,"Jackie Shroff, Dimple Kapadia, Tabu","Crime, Drama, Mystery"
Aakrosh,Lateef Binny,"Sunil Shetty, Shilpa Shetty","Action, Crime, Drama, Thriller"
Achanak,Naresh Malhotra,"Govinda, Manisha Koirala, Paresh Rawal",Drama
Ajnabi Saaya,Prasun Bannerjee,"Mithun Chakraborthy, Aditya Pancholi, Shakti Kapoor, Pratibha Sinha",Horror
Angaaray,Mahesh Bhatt,"Akshay Kumar, Akkineni Nagarjuna, Pooja Bhatt, Sonali Bendre",Action
Aunty No. 1,Kirti Kumar,"Govinda, Raveena Tandon, Kader khan, Harish",Comedy
Bade Miyan Chote Miyan,David Dhawan,"Amitabh Bachchan, Govinda, Raveena Tandon",Comedy
Badmaash,Goutam Pawar,"Jackie Shroff, Shilpa Shirodkar, Pran",Action
Bandhan,Murali Mohan,"Salman Khan, Rambha, Jackie Shroff",Action
Barsaat Ki Raat,Bharat Kapoor,"Deepshika, Dharmendra, Dinesh Hingoo",Musical
Bombay Boys,Kaizad Gustad,"Tara Deshpande, Naveen Andrews, Rahul Bose, Alexander Gifford, Naseeruddin Shah, Roshan Seth","Comedy, Drama"
China Gate,Rajkumar Santoshi,"Samir Soni, Mamta Kulkarni, Amrish Puri, Om Puri, Urmila Matondkar","Social, War, Action"
Chhota Chetan,Jijo Punnoose,"Urmila Matondkar, Dalip Tahil, Satish Kaushik",
Dahan,Rituparno Ghosh,"Shakuntala Barua, Abhishek Chatterjee, Subhendu Chatterjee",Drama
Dand Nayak,Sikander Bharti,"Manek Bedi, Ayesha Jhulka, Bharat Kapoor",Action
Deewana Hoon Pagal Nahi,Mohanjee Prasad,"Rakesh Bedi, Laxmikant Berde, Vikas Bhalla","Drama, Family, Action, Comedy"
Devta,Jagdish A Sharma,"Mithun Chakraborty, Aditya Pancholi, Ayushi, Payal Malhotra,",Action
Dhoondte Reh Jaaoge,Kumar Bhatia,"Tinnu Anand, Prem Chopra, Dinesh Hingoo","Comedy, Drama, Family, Romance"
Dil Se..,Mani Ratnam,"Shahrukh Khan, Manisha Koirala, Preity Zinta",Drama
Do Numbri,T L V Prasad,"Mithun Chakraborty, Sneha",
Doli Saja Ke Rakhna,Priyadarshan,"Akshaye Khanna, Jyothika","Romance, Drama"
Dulhe Raja,Harmesh Malhotra,"Govinda, Raveena Tandon",Comedy
Duplicate,Mahesh Bhatt,"Shahrukh Khan, Juhi Chawla, Sonali Bendre",Comedy
Dushman,Tanuja Chandra,"Kajol, Sanjay Dutt, Ashutosh Rana",Thriller
Ganga Ki Kasam,T L V Prasad,"Deepti Bhatnagar, Mithun Chakraborthy, Jackie Shroff",Drama
