Title,Director,Cast,Genre,Music director
Aaghaaz,Yogesh Ishwar,"Suniel Shetty, Sushmita Sen, Namrata Shirodkar",Thriller,
Aaj Ka Ravan,Imran Khalid,"Kasam Ali, Mithun Chakraborty",Drama,
Anjaane,Ravi Rai,Raveena Tandon,,
Anokha Moti,Anshul Singla,"Sanjay Sharma, Arjun Chakraborty, Nayab Aftab",Family,
Apradhi Kaun,Mohan Bhakri,"Ishrat Ali, Shagufta Ali",Thriller,
Astitva,Mahesh Manjrekar,"Tabu, Sachin Khedekar, Smita Jaykar, Mohnish Bahl","Drama, Social",
Baaghi,Rajesh Kumar Singh,"Sanjay Dutt, Manisha Koirala",Action,
Badal,Raj Kanwar,"Bobby Deol, Rani Mukerji","Action, Drama",
Bas Yaari Rakho,Gopi Desai,"Pooja Batra, Seema Biswas","Comedy, Drama",
Bawandar,Jag Mundhra,"Nandita Das, Rahul Khanna",Drama,
Beti No.1,Rama Rao Tatineni,"Govinda, Rambha",Comedy,
Bhai Thakur,,Dharmendra,Action,
Bichhoo,Guddu Dhanoa,"Bobby Deol, Rani Mukerji, Malaika Arora",Action,
Billa No. 786,Imran Khalid,Mithun Chakraborty,Action,
Bulandi,Rama Rao Tatineni,"Rajinikanth, Rekha, Anil Kapoor, Raveena Tandon",Drama,
Chal Mere Bhai,David Dhawan,"Sanjay Dutt, Salman Khan, Karisma Kapoor, Twinkle Khanna, Sonali Bendre, Shakti Kapoor, Dalip Tahil",Comedy,
Champion,Padam Kumar,"Sunny Deol, Manisha Koirala","Action, Drama",
Cover Story,G.S. Vijayan,"Tabu, Suresh Gopi","Action, Drama",
Dahshat,Tulsi Ramsay,"Sarika, Navin Nischol",Horror,
Deewane,Harry Baweja,"Ajay Devgan, Urmila Matondkar, Mahima Chaudhry","Action, Romance",
Dhaai Akshar Prem Ke,Raj Kanwar,"Abhishek Bachchan, Aishwarya Rai","Romance, Drama",
Dhadkan,Dharmesh Darshan,"Akshay Kumar, Suniel Shetty, Shilpa Shetty","Romance, Drama",
Dil Hi Dil Mein,Kathir,"Sonali Bendre, Kunal",Romance,
Dil Ki Dhadkan,,Rambha,,
Dil Pe Mat Le Yaar,Hansal Mehta,"Manoj Bajpai, Tabu",Drama,
Dr. Babasaheb Ambedkar,Jabbar Patel,"Mammootty, Sonali Kulkarni",,
Dr Mukta,,,,
Dulhan Hum Le Jayenge,David Dhawan,"Salman Khan, Karisma Kapoor","Comedy, Romance",
Fiza,Khalid Mohammed,"Jaya Bachchan, Karisma Kapoor, Hrithik Roshan",Drama,
Gaja Gamini,M.F. Hussain,"Madhuri Dixit, Shabana Azmi, Shilpa Shirodkar, Naseeruddin Shah, Shah Rukh Khan",Drama,
Gang,Mazhar Khan,"Juhi Chawla, Nana Patekar, Jackie Shroff",Crime,
Ghaath,Akashdeep,"Raveena Tandon, Tabu, Manoj Bajpai",Drama,
Hadh Kar Di Aapne,Manoj Agrawal,"Govinda, Rani Mukerji","Comedy, Romance",
Hamara Dil Aapke Paas Hai,Satish Kaushik,"Anil Kapoor, Aishwarya Rai, Sonali Bendre",Drama,
Har Dil Jo Pyar Karega,Raj Kanwar,"Salman Khan, Preity Zinta, Rani Mukerji, Shahrukh Khan","Comedy, Drama, Romance",
Hari-Bhari,Shyam Benegal,"Shabana Azmi, Rajit Kapur, Rajeshwari Sachdev, Surekha Sikri, Nandita Das",,
Hera Pheri,Priyadarshan,"Akshay Kumar, Suniel Shetty, Tabu, Paresh Rawal",Comedy,
