Title,Genre,Director,Cast,Source
No One Killed Jessica,"Social, Thriller",Raj Kumar Gupta,"Rani Mukherjee, Vidya Balan |",
Impatient Vivek,"Adult, Comedy, Romance",Rahat Kazmi,"Prasun Sharma, Sayali Bhagat |",
Yamla Pagla Deewana,"Comedy, Drama, Action",Samir Karnik,"Dharmendra, Sunny Deol, Bobby Deol, Kulraj Randhawa |",
Turning 30!!!,"Adult, Romance, Comedy",Alankrita Shrivastava,"Purab Kohli, Gul Panag |",
Mumbai Mast Kallander,"Comedy, Comedy, Comedy",Aman Mihani,"Shilpa Shukla, Mohsin Akhtar |",
Odyssey of Persistence,Social,"Sagar Ambre
Nikunj Pathak",Diksha Tomar,
Dhobi Ghat,Drama,Kiran Rao,"Prateik Babbar, Aamir Khan, Monica Dogra |",
Hostel,Social,Manish Gupta,"Vatsal Sheth, Tulip Joshi, Mukesh Tiwari |",
Dil Toh Baccha Hai Ji,"Romance, Comedy",Madhur Bhandarkar,"Ajay Devgn, Emraan Hashmi, Shruti Haasan |",
Yeh Saali Zindagi,Cult,Sudhir Mishra,"Arunoday Singh, Chitrangada Singh, Irrfan Khan |",
United Six,"Action, Thriller",Vishal Aryan Singh,Parvathy Omanakuttan |,
Utt Pataang,Comedy,Srikanth V. Velagaleti,"Vinay Pathak, Mahie Gill, Mona Singh",
Patiala House,"Family, Drama",Nikhil Advani,"Akshay Kumar, Anushka Sharma, Rishi Kapoor, Dimple Kapadia |",
Angel,Drama,Ganesh Acharya,"Nilesh Sahay, Madalasa Sharma, Aruna Irani |",
Aashiqui.in,Romance,Shankhadeep,,
7 Khoon Maaf,"Thriller, Comedy",Vishal Bhardwaj,"Neil Nitin Mukesh, Priyanka Chopra, Naseeruddin Shah, John Abraham, Irrfan Khan, Konkona Sen Sharma | [2]",
Kaccha Limbo,Children,Sagar Ballary,"Vinay Pathak, Sarika, Rukhsar, Chinmay Kambli | [3]",
Masti Express,Comedy,Vikram Pradhan,"Rajpal Yadav, Johnny Lever, Divya Dutta, Manoj Joshi, Razzak Khan, Vijay Patkar, Rohan Shah, Vinit Jain, Sameer Mohammed| [4]",
Tanu Weds Manu,"Romance, Drama",Anand Rai,"Madhavan, Kangana Ranaut, Jimmy Shergill, Ravi Kissen |",
Satrangee Parachute,Family,Vineet Khetrapal,"Jackie Shroff, Kay Kay Menon, Rupali Ganguly, Zakir Hussain |",
Yeh Faasley,Drama,Yogesh Mittal,"Anupam Kher, Pavan Malhotra | [5]",
Happy Husbands,Comedy,Anay,"Anay, Kurush Deboo, Mohit Ghai, Ahwaan, Archana | [6]",
Monica,Drama,Sushen Bhatnagar,"Divya Dutta, Ashutosh Rana |",
Game,"Mystery, Action",Abhinay Deo,"Abhishek Bachchan, Kangana Ranaut, Sarah Jane Dias, Jimmy Shergill, Boman Irani, Anupam Kher | [7]",
F.A.L.T.U,"Satire, Comedy",Remo D'souza,"Jackky Bhagnani, Puja Gupta, Arshad Warsi, Ritesh Deshmukh | [8]",
Memories in March,Drama,Sanjoy Nag,"Deepti Naval, Rituparno Ghosh, Raima Sen | [9]",
Thank You,Comedy,Anees Bazmee,"Akshay Kumar, Bobby Deol, Sunil Shetty, Irrfan Khan, Sonam Kapoor, Celina Jaitley, Rimi Sen | [10]",
Teen Thay Bhai,Drama,Mirgdeep Singh Lamba,"Om Puri, Shreyas Talpade, Deepak Dobriyal, Ragini Khanna | [11]",
Dum Maaro Dum,Thriller,Rohan Sippy,"Abhishek Bachchan, Bipasha Basu, Prateik Babbar, Aditya Pancholi, Rana Daggubati | [12]",
Zokkomon,Children,Satyajit Bhatkal,"Darsheel Safary, Anupam Kher, Manjari Fadnis | [13]",
Shor in the City,"Drama, Cult","Raj Nidimoru, Krishna Dk","Tusshar Kapoor, Preeti Desai, Alok Chaturvedi | [14]",
Chalo Dilli,Comedy,Shashant Shah,"Lara Dutta, Vinay Pathak, Akshay Kumar | [15]",
I Am,"Social, Drama",Onir,"Sanjay Suri, Radhika Apte, Shernaz Patel, Anurag Kashyap, Pooja Gandhi, Rahul Bose, Arjun Mathur, Abhimanyu Shekhar Singh, Nandita Das, Juhi Chawla, Manisha Koirala, Purab Kohli | [16]",
Naughty @ 40,Comedy,Jagmohan Mundhra,"Govinda, Yuvika Chaudhary, Anupam Kher, Shakti Kapoor, Sayali Bhagat, Sanjay Mishra | [17]",
Luv Ka The End,Comedy,Bumpy,"Shraddha Kapoor, Taaha Shah | [18]",
Haunted – 3D,Horror,Vikram Bhatt,"Mahakshay Chakraborty, Twinkle Bajpai, Achint Kaur | [19]",
Love U...Mr. Kalakaar!,"Romance, Comedy",S. Manasvi,"Tusshar Kapoor, Amrita Rao | [20]",
Ragini MMS,"Horror, Romance",Pawan Kripalani,"Kainaz Motivala, Rajkummar Rao | [21]",
Shagird,"Action, Drama",Tigmanshu Dhulia,"Nana Patekar, Anurag Kashyap, Mohit Alawat | [22]",
Stanley Ka Dabba,Children,Amole Gupte,"Partho, Divya Dutta | [23]",
404,Thriller,Prawaal Raman,"Rajvvir Aroraa, Imaad Shah, Nishikant Kamat | [24]",
Pyar ka Punchnama,"Romance, Comedy",Luv Ranjan,[25],
Kucch Luv Jaisaa,"Drama, Comedy",Barnali Ray Shukla,"Rahul Bose, Shefali Shah | [26]",
Ready,Comedy,Anees Bazmee,"Salman Khan, Asin, Paresh Rawal, Mahesh Manjrekar, Sanjay Dutt, Ajay Devgn, Kangana Ranaut, Zarine Khan, Chunky Pandey, Arbaaz Khan | [27]",
Shaitan,"Drama, Thriller",Bijoy Nambiar,"Rajeev Khandelwal, Kalki Koechlin, Shiv Pandit | [28]",
Bheja Fry 2,Comedy,Sagar Ballary,"Vinay Pathak, Minissha Lamba, Kay Kay Menon, Amole Gupte | [29]",
Always Kabhi Kabhi,Romance,Roshan Abbas,"Ali Fazal, Giselli Monteiro, Zoa Morani, Satyajeet Dubey, Satish Shah, Lilette Dubey | [30]",
Bhindi Baazaar Inc.,Thriller,Ankush Bhatt,"Kay Kay Menon, Piyush Mishra, Deepti Naval, Prashant Narayanan, Shilpa Shukla | [31]",
Bin Bulaye Baraati,Crime,Chandrakant Singh,"Rati Agnihotri, Gulshan Grover, Manoj Joshi, Shakti Kapoor, Priyanka Kothari, Johnny Lever, Sanjay Mishra, Om Puri, Vijay Raaz, Aftab Shivdasani |",
Double Dhamaal,Comedy,Indra Kumar,"Sanjay Dutt, Arshad Warsi, Javed Jaffrey, Riteish Deshmukh, Aashish Chaudhary, Mallika Sherawat, Kangana Ranaut | [32]",
Bbuddah... Hoga Terra Baap,"Action, Comedy",Puri Jagannadh,"Amitabh Bachchan, Charmy Kaur, Raveena Tandon, Hema Malini, Prakash Raj, Sonu Sood, Sonal Chauhan | [33]",
Delhi Belly,"Adult, Comedy",Abhinay Deo,"Imran Khan, Shenaz Treasurywala, Poorna Jagannathan, Rahul Pendkalkar, Vir Das, Vijay Raaz | [34]",
Murder 2,Thriller,Mohit Suri,"Emraan Hashmi, Jacqueline Fernandez, Prashant Narayanan | [35]",
Chillar Party,Children,"Vikas Bahl, Nitesh Tiwari",[36],
Zindagi Na Milegi Dobara,"Romance, Road",Zoya Akhtar,"Hrithik Roshan, Katrina Kaif, Naseeruddin Shah, Abhay Deol, Farhan Akhtar, Kalki Koechlin | [37]",
Singham,Action,Rohit Shetty,"Ajay Devgn, Kajal Aggarwal, Prakash Raj | [38]",
Khap,Social,Ajai Sinha,"Om Puri, Govind Namdeo, Manoj Pahwa, Yuvika Chaudhary, Mohnish Bahl | [39]",
Gandhi to Hitler,Biopic,Rakesh Ranjan Kumar,"Neha Dhupia, Raghubir Yadav | [40]",
Bubble Gum,Drama,Sanjivan Lal,"Sohail Lakhani, Apoorva Arora, Sachin Khedekar, Tanvi Azmi | [41]",
Chala Mussaddi... Office Office,"Comedy, Social",Rajiv Mehra,[42],
I Am Kalam,Drama,Nila Madhab Panda,"Harsh Mayar, Gulshan Grover | [43]",
Milta Hai Chance By Chance,"Comedy, Romance",Ramesh Modi,"Gracy Singh, Aslam Khan, Vishal Kaushik, Sana Govi, Reshma Modi, Mahesh Thakur | [44]",
Warning,Horror,Karan Razdan,"Jannat Zubair Rahmani, Atul Kulkarni, Rituparna Sengupta, Anupam Kher, Satish Kaushik, Ila Arun | [45]",
Aarakshan,Social,Prakash Jha,"Amitabh Bachchan, Saif Ali Khan, Manoj Bajpai, Deepika Padukone, Prateik Babbar | [46]",
Phhir,Thriller,Girish Dhamija,"Rajneesh Duggal, Adah Sharma, Roshni Chopra | [47]",
Chatur Singh Two Star,Comedy,Ajay Chandok,"Sanjay Dutt, Ameesha Patel, Suresh Menon | [48]",
Not a Love Story,Crime,Ram Gopal Varma,"Mahie Gill, Deepak Dobriyal, Ajay Gehi, Urmila Matondkar | [49]",
Sahi Dhandhe Galat Bande,Comedy,Parvin Dabas,"Parvin Dabas, Sharat Saxena, Vansh Bharadwaj, Anupam Kher, Ashish Nayyar, Kuldip Ruhil | [50]",
