Title,Genre,Director,Cast
Players,"Action, Thriller",Abbas-Mustan,"Abhishek Bachchan, Sonam Kapoor, Bipasha Basu, Neil Nitin Mukesh, Bobby Deol, Omi Vaidya, Sikander Kher[2]"
Chaalis Chauraasi 4084,"Comedy, Crime",Hriday Shetty,"Naseeruddin Shah, Atul Kulkarni, Kay Kay Menon, Ravi Kissen[3]"
Ghost,"Adult, Horror",Puja Jatinder Bedi,"Shiney Ahuja, Sayali Bhagat, Deepraj Rana[4]"
Sadda Adda,Comedy,Muazzam Beg,"Karanvir Sharma, Shaurya Chauhan, Bhaumik Sampat, Kahkkashan Aryan, Rohin Robert, Rohit Arora[5]"
Agneepath,"Action, Drama",Karan Malhotra,"Hrithik Roshan, Sanjay Dutt, Priyanka Chopra, Rishi Kapoor, Om Puri, Zarina Wahab[6]"
Gali Gali Chor Hai,Drama,Rumi Jaffrey,"Akshaye Khanna, Shriya Saran, Mugdha Godse, Satish Kaushik, Vijay Raaz[7]"
Staying Alive,Social,Anant Mahadevan,"Anant Mahadevan, Saurabh Shukla, Chandan Roy Sanyal[8]"
Love You To Death,Comedy,Rafeeg Ellias,"Yuki Ellias, Chandan Roy Sanyal, Sheeba Chaddha, Suhasini Mulay[9]"
Ek Main Aur Ekk Tu,"Romance, Comedy",Shakun Batra,"Imran Khan, Kareena Kapoor, Boman Irani, Ram Kapoor, Ratna Pathak Shah[10]"
Valentine's Night,"Adult, Romance, Thriller",Krishan Kumar,"Payal Rohatgi, Sangram Singh, Rahul Minz, Neha Thakur,[11]"
Ekk Deewana Tha,Romance,Gautham Menon,"Prateik Babbar, Amy Jackson, Manu Rishi, Ramesh Sippy, Sachin Khedekar[12]"
?: A question mark,"Adult, Horror","Allyson Patel
Yash Dave","Maanvi Gagroo, Akhlaque Khan, Yaman Chatwal, Varun Thakur, Chirag Jain[13]"
Married 2 America,Drama,Dilip Shankar,"Jackie Shroff, Archana Joglekar, Anjali Malhotra, Shweta Tiwari, Raghuveer Yadav, Chetan Pandit, Ashok Samarth, Akhilendra Mishra"
Jodi Breakers,Romance,Ashwini Chaudhary,"Madhavan, Bipasha Basu, Omi Vaidya, Dipannita Sharma[14]"
Tere Naal Love Ho Gaya,"Romance, Comedy",Mandeep Kumar,"Riteish Deshmukh, Genelia D'Souza, Om Puri[15]"
"London, Paris, New York",Romance,Anu Menon,"Ali Zafar, Aditi Rao Hydari[16]"
Paan Singh Tomar,Crime,Tigmanshu Dhulia,"Irrfan Khan, Mahie Gill[17]"
Will You Marry Me?,Romance,Aditya Dutt,"Shreyas Talpade, Mugdha Godse, Rajeev Khandelwal, Muzamil Ibrahim[18]"
Kahaani,"Drama, Thriller",Sujoy Ghosh,"Vidya Balan, Parambrata Chatterjee[19]"
Chaar Din Ki Chandni,Comedy,Samir Karnik,"Tusshar Kapoor, Kulraj Randhawa, Anupam Kher[19]"
Say Yes to Love,Romance,Mahrukh Mirza Beg,"Asad Mirza, Nazia Hussain, Aditya Roy Kapur[20]"
Akkad Bakkkad Bam Be Bo,Romance,Dweep Raj Kochhar,Dweep Raj Kochhar[21]
Zindagi Tere Naam,Romance,Ashu Trikha,"Mithun Chakraborthy, Ranjeeta Kaur, Ashish Sharma[21]"
Agent Vinod,"Suspense, Thriller",Sriram Raghavan,"Saif Ali Khan, Kareena Kapoor[20]"
Blood Money,Thriller,Vishal Mahadkar,"Kunal Khemu, Amrita Puri[22]"
Bumboo,Comedy,Jagdish Rajpurohit,"Sharat Saxena, Sanjay Mishra[20]"
Housefull 2,"Action, Comedy",Sajid Khan,"Akshay Kumar, Asin Thottumkal, Jacqueline Fernandez, John Abraham, Riteish Deshmukh, Zarine Khan, Shreyas Talpade, Shazahn Padamsee, Rishi Kapoor, Randhir Kapoor, Boman Irani, Mithun Chakraborty[23]"
Bittoo Boss,Comedy,Supavitra Babul,"Pulkit Samrat, Amita Pathak[24]"
Chhodo Kal Ki Baatein,Comedy,Pramod Joshi,"Sachin Khedekar, Anjan Srivastav, Atul Parchure, Anupam Kher[25]"
Ab Hoga Dharna Unlimited,Drama,Deepak Tanwar,"Sourabh Malik, Rekha Rana, Omkar Das Manikpuri[25]"
Vicky Donor,Comedy,Shoojit Sircar,"Ayushmann Khurrana, Yami Gautam, Annu Kapoor[26]"
Hate Story,"Adult, Thriller",Vivek Agnihotri,"Paoli Dam, Gulshan Devaiya, Nikhil Dwivedi[26]"
Tezz,Action,Priyadarshan,"Ajay Devgn, Anil Kapoor, Kangana Ranaut, Zayed Khan, Sameera Reddy, Boman Irani, Mohanlal[27]"
Life Ki Toh Lag Gayi (Film),Comedy,Rakesh Mehta,"Ranvir Shorey, Kay Kay Menon, Manu Rishi, Rukhsar Rehman, Neha Bhasin[27]"
Jannat 2,"Crime, Thriller",Kunal Deshmukh,"Emraan Hashmi, Randeep Hooda & Esha Gupta[28]"
