Year,Number,HighestGrosser
1920,21,
1921,38,
1922,59,
1923,47,
1924,68,
1925,80,
1926,87,
1927,93,
1928,110,
1929,143,
1930,109,
1931,83,
1932,63,
1933,70,
1934,118,
1935,145,
1936,130,
1937,97,
1938,86,
1939,78,
1940,85,Bandhan
1941,72,Khazanchi
1942,96,Basant
1943,98,Kismet
1944,86,Ratan
1945,72,Zeenat
1946,157,Anmol Ghadi
1947,169,Jugnu
1948,143,Shaheed
1949,118,Barsaat
1950,93,Babul
1951,90,Awaara
1952,93,Baiju Bawra
1953,88,Anarkali
1954,114,Nagin
1955,110,Shree 420
1956,108,C.I.D.
1957,103,Mother India
1958,103,Madhumati
1959,99,Anari
1960,103,Mughal-E-Azam
1961,83,Gunga Jumna
1962,85,Bees Saal Baad
1963,82,Mere Mehboob
1964,83,Sangam
1965,73,Waqt
1966,59,Phool Aur Patthar
1967,69,Upkar
1968,75,Ankhen
1969,82,Aradhana
1970,71,Johny Mera Naam
1971,87,Haathi Mere Saathi
1972,95,Seeta Aur Geeta
1973,76,Bobby
1974,90,Roti Kapada Aur Makaan
1975,78,Sholay
1976,71,Dus Numbri
1977,106,Amar Akbar Anthony
1978,58,Muqaddar Ka Sikandar
1979,84,Sargam
1980,113,Aasha
1981,112,Kranti
1982,127,Prem Rog
1983,101,Coolie
1984,128,Aaj Ki Awaz
1985,126,Ram Teri Ganga Maili
1986,126,Karma
1987,108,Hukumat
1988,138,Tezaab
1989,63,Maine Pyar Kiya
1990,98,Dil
1991,123,Saajan
1992,120,Beta
1993,116,Aankhen
1994,106,Hum Aapke Hain Koun...!
1995,88,Dilwale Dulhania Le Jayenge
1996,100,Raja Hindustani
1997,75,Border
1998,86,Kuch Kuch Hota Hai
1999,82,Hum Saath-Saath Hain: We Stand United
2000,88,Kaho Naa... Pyaar Hai
2001,88,Gadar: Ek Prem Katha
2002,110,Raaz
2003,135,Koi... Mil Gaya
2004,101,Veer-Zaara
2005,126,No Entry
2006,104,Dhoom 2
2007,105,Om Shanti Om
2008,81,Ghajini
2009,95,3 Idiots
2010,126,Dabangg
2011,102,Bodyguard
2012,104,Ek Tha Tiger
2013,114,Dhoom:3
2014,141,PK
2015,113,Bajrangi Bhaijaan
