Year,Devotional/Religious,Romance,Comedy,Mythology/Costume/Legend/Historical,Action/Thriller,Drama,Social/Family,Crime/Crime Thriller,Total
1920,1,0,0,15,0,1,3,0,20
1921,8,0,1,25,0,0,3,0,37
1922,16,1,2,36,0,4,6,0,68
1923,12,0,0,29,0,5,4,0,55
1924,12,0,0,32,1,2,15,3,66
1925,5,0,0,37,0,1,26,2,78
1926,8,1,0,43,2,0,25,0,86
1927,14,3,0,29,3,1,32,0,87
1928,12,4,1,37,0,1,37,0,102
1929,10,4,1,45,25,0,37,0,133
1930,1,0,0,52,21,1,15,0,97
1931,1,4,1,24,7,4,8,0,51
1932,8,2,1,27,3,2,12,0,61
1933,11,4,2,36,2,4,12,0,78
1934,14,0,0,44,15,6,32,0,120
1935,6,2,1,41,26,11,60,1,158
1936,6,3,1,32,39,7,46,0,137
1937,3,2,1,15,39,9,43,0,116
1938,6,5,0,9,33,11,39,0,106
1939,2,2,1,5,37,5,37,0,94
1940,3,5,1,9,15,16,48,0,109
1941,2,1,3,8,11,14,46,0,89
1942,2,2,1,3,12,15,74,0,114
1943,7,4,2,3,12,15,66,0,114
1944,3,5,1,4,17,18,52,0,107
1945,3,5,0,15,2,20,50,0,97
1946,4,7,0,19,34,26,71,0,177
1947,8,13,1,11,32,29,109,0,210
1948,7,12,2,11,21,33,79,0,174
1949,4,17,3,9,24,27,74,2,161
1950,9,14,2,6,13,31,47,1,124
1951,12,19,0,9,12,36,42,4,136
1952,3,12,3,19,8,32,43,0,130
1953,3,7,3,17,8,37,50,1,133
1954,11,3,1,22,11,34,54,0,149
1955,7,5,8,26,13,33,53,2,158
1956,9,13,8,30,25,30,27,4,158
1957,12,11,5,12,24,23,46,3,155
1958,3,15,3,14,29,32,47,6,161
1959,4,9,5,7,28,32,65,3,160
1960,2,29,4,13,31,44,52,4,193
1961,0,20,5,10,15,38,26,6,126
1962,2,22,6,4,27,34,23,5,141
1963,1,25,3,9,20,37,21,4,139
1964,2,15,1,9,17,18,10,0,85
1965,1,0,1,1,1,0,1,0,10
1966,0,0,0,0,0,1,2,0,4
1967,1,0,0,0,2,2,3,1,11
1968,1,17,7,5,37,26,24,1,125
1969,0,4,0,0,5,2,4,0,15
1970,0,17,2,0,9,38,0,0,67
1971,2,19,6,1,5,52,3,0,88
1972,0,13,4,0,14,57,0,0,90
1973,0,13,3,0,20,33,0,2,72
1974,0,9,2,0,7,47,1,1,71
1975,0,6,0,0,3,6,0,0,15
1976,0,1,0,1,0,2,0,0,4
1977,0,3,0,0,1,8,1,0,13
1978,0,2,3,0,6,6,1,0,18
1979,1,24,5,1,11,29,3,1,80
1980,0,17,11,1,37,36,24,8,150
1981,0,8,7,0,10,22,3,1,52
1982,0,18,8,0,26,56,25,6,146
1983,0,16,13,0,25,42,15,8,124
1984,0,15,12,0,41,47,19,13,159
1985,0,17,12,1,35,38,16,14,149
1986,0,13,7,0,27,40,10,7,113
1987,0,10,4,0,31,37,9,14,121
1988,0,12,11,1,46,28,12,7,123
1989,0,4,2,0,3,2,0,0,11
1990,0,10,6,0,40,30,4,19,117
1991,0,23,5,0,41,38,6,13,135
1992,0,31,7,0,44,37,7,8,144
1993,0,30,6,0,35,38,6,16,135
1994,0,20,17,1,37,35,12,7,138
1995,0,20,6,0,24,28,6,11,102
1996,0,21,9,0,38,27,6,5,113
1997,0,16,8,0,22,16,5,5,74
1998,0,16,16,0,34,32,7,8,116
1999,0,20,11,0,30,32,3,6,107
2000,0,22,12,0,19,34,3,1,95
2001,0,20,8,1,16,26,5,2,81
2002,0,20,10,4,20,24,4,3,89
2003,0,20,8,0,21,28,3,0,84
2004,0,29,17,1,38,44,1,2,140
2005,0,24,23,3,31,45,2,5,137
2006,0,25,22,0,30,34,13,2,137
2007,0,23,25,0,26,32,5,2,118
2008,0,34,28,2,29,34,5,6,154
2009,0,24,34,1,26,23,9,1,128
2010,0,30,27,0,41,27,8,5,157
2011,0,26,40,0,27,23,12,3,140
2012,0,25,39,0,34,18,3,8,141
2013,0,29,32,1,45,25,2,10,154
2014,0,29,44,1,40,51,7,1,190
2015,1,21,33,1,31,46,2,5,147
