Year,DevotionalReligious,Romance,Comedy,MythologyHistorical,CrimeActionThriller,Drama,FamilySocial,Total
1920,1,0,0,15,0,1,3,20
1921,8,0,1,25,0,0,3,37
1922,16,1,2,36,0,4,6,68
1923,12,0,0,29,0,5,4,55
1924,12,0,0,32,4,2,15,66
1925,5,0,0,37,2,1,26,78
1926,8,1,0,43,2,0,25,86
1927,14,3,0,29,3,1,32,87
1928,12,4,1,37,0,1,37,102
1929,10,4,1,45,25,0,37,133
1930,1,0,0,52,21,1,15,97
1931,1,4,1,24,7,4,8,51
1932,8,2,1,27,3,2,12,61
1933,11,4,2,36,2,4,12,78
1934,14,0,0,44,15,6,32,120
1935,6,2,1,41,27,11,60,158
1936,6,3,1,32,39,7,46,137
1937,3,2,1,15,39,9,43,116
1938,6,5,0,9,33,11,39,106
1939,2,2,1,5,37,5,37,94
1940,3,5,1,9,15,16,48,109
1941,2,1,3,8,11,14,46,89
1942,2,2,1,3,12,15,74,114
1943,7,4,2,3,12,15,66,114
1944,3,5,1,4,17,18,52,107
1945,3,5,0,15,2,20,50,97
1946,4,7,0,19,34,26,71,177
1947,8,13,1,11,32,29,109,210
1948,7,12,2,11,21,33,79,174
1949,4,17,3,9,26,27,74,161
1950,9,14,2,6,14,31,47,124
1951,12,19,0,9,16,36,42,136
1952,3,12,3,19,8,32,43,130
1953,3,7,3,17,9,37,50,133
1954,11,3,1,22,11,34,54,149
1955,7,5,8,26,15,33,53,158
1956,9,13,8,30,29,30,27,158
1957,12,11,5,12,27,23,46,155
1958,3,15,3,14,35,32,47,161
1959,4,9,5,7,31,32,65,160
1960,2,29,4,13,35,44,52,193
1961,0,20,5,10,21,38,26,126
1962,2,22,6,4,32,34,23,141
1963,1,25,3,9,24,37,21,139
1964,2,15,1,9,17,18,10,85
1965,1,0,1,1,1,0,1,10
1966,0,0,0,0,0,1,2,4
1967,1,0,0,0,3,2,3,11
1968,1,17,7,5,38,26,24,125
1969,0,4,0,0,5,2,4,15
1970,0,17,2,0,9,38,0,67
1971,2,19,6,1,5,52,3,88
1972,0,13,4,0,14,57,0,90
1973,0,13,3,0,22,33,0,72
1974,0,9,2,0,8,47,1,71
1975,0,6,0,0,3,6,0,15
1976,0,1,0,1,0,2,0,4
1977,0,3,0,0,1,8,1,13
1978,0,2,3,0,6,6,1,18
1979,1,24,5,1,12,29,3,80
1980,0,17,11,1,45,36,24,150
1981,0,8,7,0,11,22,3,52
1982,0,18,8,0,32,56,25,146
1983,0,16,13,0,33,42,15,124
1984,0,15,12,0,54,47,19,159
1985,0,17,12,1,49,38,16,149
1986,0,13,7,0,34,40,10,113
1987,0,10,4,0,45,37,9,121
1988,0,12,11,1,53,28,12,123
1989,0,4,2,0,3,2,0,11
1990,0,10,6,0,59,30,4,117
1991,0,23,5,0,54,38,6,135
1992,0,31,7,0,52,37,7,144
1993,0,30,6,0,51,38,6,135
1994,0,20,17,1,44,35,12,138
1995,0,20,6,0,35,28,6,102
1996,0,21,9,0,43,27,6,113
1997,0,16,8,0,27,16,5,74
1998,0,16,16,0,42,32,7,116
1999,0,20,11,0,36,32,3,107
2000,0,22,12,0,20,34,3,95
2001,0,20,8,1,18,26,5,81
2002,0,20,10,4,23,24,4,89
2003,0,20,8,0,21,28,3,84
2004,0,29,17,1,40,44,1,140
2005,0,24,23,3,36,45,2,137
2006,0,25,22,0,32,34,13,137
2007,0,23,25,0,28,32,5,118
2008,0,34,28,2,35,34,5,154
2009,0,24,34,1,27,23,9,128
2010,0,30,27,0,46,27,8,157
2011,0,26,40,0,30,23,12,140
2012,0,25,39,0,42,18,3,141
2013,0,29,32,1,55,25,2,154
2014,0,29,44,1,41,51,7,190
2015,1,21,33,1,36,46,2,147
