Year,Devotional,Romance,Animation/Children,Comedy,Mythology,Biopic,Horror,Fiction,Adventure,Legend,Thriller,SciFi,Mystery/Suspense,Romantic,Drama,Historical,Social,Action,CrimeTotal,Musical,History,Family,Fantasy,Costume,Religious,Total
1920,1,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,20
1921,8,0,0,1,24,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,37
1922,14,1,0,2,25,2,0,0,0,8,0,0,0,0,4,1,6,0,0,0,0,0,1,2,2,68
1923,7,0,0,0,21,4,0,0,0,3,0,0,0,0,5,4,4,0,0,0,0,0,1,1,5,55
1924,9,0,0,0,12,1,0,0,0,3,1,0,0,0,2,12,15,0,3,0,0,0,0,5,3,66
1925,4,0,0,0,8,0,0,0,0,3,0,0,0,0,1,14,26,0,2,0,0,0,7,12,1,78
1926,5,1,0,0,9,0,0,0,0,7,0,0,0,0,0,13,25,2,0,0,0,0,7,14,3,86
1927,9,3,0,0,6,0,0,0,0,2,0,0,0,0,1,6,32,3,0,0,0,0,5,15,5,87
1928,8,4,0,1,7,0,0,0,0,6,0,0,0,0,1,9,37,0,0,0,0,0,10,15,4,102
1929,7,4,0,1,3,0,0,0,1,5,0,0,1,0,0,11,37,24,0,0,0,0,10,26,3,133
1930,0,0,1,0,4,0,0,0,1,1,0,0,0,0,1,10,15,21,0,0,0,0,5,37,1,97
1931,1,4,0,1,7,0,0,0,0,4,0,0,0,0,4,4,8,7,0,0,0,0,2,9,0,51
1932,4,2,0,1,10,1,0,0,0,4,0,0,1,0,2,1,12,2,0,0,0,0,5,12,4,61
1933,6,4,0,2,8,1,0,0,0,5,0,0,0,0,4,2,12,2,0,0,0,0,6,21,5,78
1934,11,0,0,0,4,2,0,0,0,3,0,0,0,0,6,5,31,15,0,0,0,1,7,32,3,120
1935,6,2,0,1,1,1,0,0,1,3,0,0,0,0,11,1,58,26,1,0,0,2,8,36,0,158
1936,5,3,0,1,0,1,0,0,2,2,0,0,1,0,7,2,45,38,0,0,0,1,0,28,1,137
1937,3,2,0,1,1,1,0,0,1,2,0,0,2,0,9,0,39,37,0,1,0,4,1,12,0,116
1938,5,5,0,0,2,0,0,0,1,0,0,0,1,0,11,0,37,32,0,1,0,2,1,7,1,106
1939,2,2,0,1,0,1,0,0,2,0,0,0,2,0,5,2,36,35,0,0,0,1,2,3,0,94
1940,3,5,0,1,1,2,1,0,2,0,0,0,0,0,16,0,43,15,0,1,0,5,6,8,0,109
1941,2,1,0,3,0,1,0,0,0,1,0,1,0,0,14,2,40,11,0,0,0,6,2,5,0,89
1942,1,2,0,1,0,4,0,0,1,0,0,0,0,0,15,0,67,12,0,0,0,7,0,3,1,114
1943,5,4,0,2,0,2,0,0,0,0,1,0,0,0,15,2,62,11,0,1,0,4,2,1,2,114
1944,3,5,0,1,0,1,0,0,1,0,0,0,0,0,18,3,45,17,0,1,0,7,4,1,0,107
1945,2,3,0,0,3,1,0,0,0,2,0,0,0,2,20,5,44,2,0,0,0,6,1,5,1,97
1946,3,7,0,0,5,4,0,2,1,1,0,0,0,0,26,3,64,34,0,0,2,7,9,8,1,177
1947,6,13,0,1,2,2,0,0,1,2,2,0,2,0,29,2,97,28,0,0,0,12,4,5,2,210
1948,4,12,0,2,1,1,0,0,2,1,0,0,0,0,33,1,70,21,0,1,0,9,5,8,3,174
1949,3,17,0,3,4,0,0,0,0,2,2,0,2,0,27,0,55,20,2,0,0,19,1,3,1,161
